Stock Year Catch ABC OFL SSB TotBiom
EBS_SKATE 2024 27836.6 27836.6 32297.3 106073 451348
EBS_SKATE 2025 26665.3 26665.3 30940.5 98442.9 436238
EBS_SKATE 2026 25974.6 25974.6 30140.4 91144.5 425822
EBS_SKATE 2027 25616.1 25616.1 29724.7 84716 418751
EBS_SKATE 2028 25416.2 25416.2 29492.2 79665.2 413780
EBS_SKATE 2029 25252.8 25252.8 29301.9 76270.7 409961
EBS_SKATE 2030 25078.2 25078.2 29098.9 74406.4 406777
EBS_SKATE 2031 24895.2 24895.2 28886.5 73536.4 404000
EBS_SKATE 2032 24724.3 24724.3 28688.2 73051.7 401744
EBS_SKATE 2033 24585.8 24585.8 28527.8 72571.5 399951
EBS_SKATE 2034 24488.5 24488.5 28414.7 72002.7 398662
EBS_SKATE 2035 24401.2 24401.2 28291.7 71411.5 397784
EBS_SKATE 2036 24278.2 24278.2 28131.5 70885.5 397145
