Stock Year Catch ABC OFL SSB TotBiom
EBS_SKATE 2024 27548.5 27548.5 31963.2 104864 447025
EBS_SKATE 2025 26408.5 26408.5 30642.7 97325.8 432398
EBS_SKATE 2026 25747.7 25747.7 29877.3 90122 422444
EBS_SKATE 2027 25417.9 25417.9 29494.8 83788.3 415810
EBS_SKATE 2028 25245 25245 29293.6 78830.4 411245
EBS_SKATE 2029 25106.8 25106.8 29132.5 75525.7 407798
EBS_SKATE 2030 24955 24955 28956 73747.5 404949
EBS_SKATE 2031 24792.4 24792.4 28767.1 72960 402467
EBS_SKATE 2032 24639 24639 28589.3 72553.8 400467
EBS_SKATE 2033 24515.5 24515.5 28446.2 72146.8 398893
EBS_SKATE 2034 24430.5 24430.5 28345.5 71644.7 397789
EBS_SKATE 2035 24338.1 24338.1 28211.5 71114.2 397066
EBS_SKATE 2036 24217.3 24217.3 28052.9 70643.5 396572
