
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
172881 69152.4 60508.3 28668.8 26731.2 121173 
CV Recruit
0.269229 
Alternative 1 Alternative  Stock: EBS_SKATE
Catch EBS_SKATE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 24130.7 25878.4 25843 25843 25843 25843 1.45519e-11 
2024  0 24130.7 25878.4 27548.5 27548.5 27548.5 27548.5 2.91038e-11 
2025  0 24130.7 25878.4 26399.9 26407.4 26408.5 26418.4 6.04613 
2026  0 24130.7 25878.4 25717.5 25743.8 25747.7 25782 21.1272 
2027  0 24130.7 25878.4 25330.2 25407.1 25417.9 25511.8 62.0823 
2028  0 24130.7 25878.4 25032.9 25221.6 25245 25486.5 151.328 
2029  0 24130.7 25878.4 24684.7 25061.2 25106.8 25605.4 299.932 
2030  0 24130.7 25878.4 24265.9 24877.6 24955 25745.1 494.953 
2031  0 24130.7 25878.4 23747.4 24744.2 24792.4 25879.6 703.628 
2032  0 24130.7 25878.4 23314.9 24598.6 24639 25948.3 899.661 
2033  0 24130.7 25878.4 22970.1 24422.6 24515.5 25955.4 1073.84 
2034  0 24130.7 25878.4 22677.1 24341 24430.5 26402.7 1223.83 
2035  0 24130.7 25878.4 22298.6 24286.6 24338.1 26597.4 1396.88 
2036  0 24130.7 25878.4 21937.9 24195.8 24217.3 26751.3 1578.8 

Spawning_Biomass EBS_SKATE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 172881 69152.4 60508.3 111664 111664 111664 111664 2.91038e-11 
2024 172881 69152.4 60508.3 104864 104864 104864 104864 2.76486e-10 
2025 172881 69152.4 60508.3 97325.8 97325.8 97325.8 97325.8 2.91038e-11 
2026 172881 69152.4 60508.3 90122 90122 90122 90122 1.01863e-10 
2027 172881 69152.4 60508.3 83788.3 83788.3 83788.3 83788.3 0 
2028 172881 69152.4 60508.3 78830.4 78830.4 78830.4 78830.4 1.30967e-10 
2029 172881 69152.4 60508.3 75525.7 75525.7 75525.7 75525.7 1.89175e-10 
2030 172881 69152.4 60508.3 73726.3 73744.9 73747.5 73772 14.9238 
2031 172881 69152.4 60508.3 72827.5 72942.3 72960 73110 92.3794 
2032 172881 69152.4 60508.3 72086.3 72503.9 72553.8 73081.3 325.113 
2033 172881 69152.4 60508.3 71064.8 72020.4 72146.8 73369.6 767.557 
2034 172881 69152.4 60508.3 69713 71389.5 71644.7 73883.6 1375.77 
2035 172881 69152.4 60508.3 68165.6 70917.4 71114.2 74269.1 2020.4 
2036 172881 69152.4 60508.3 66965.9 70494.1 70643.5 74480.8 2583.85 

Fishing_mortalityEBS_SKATE
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0798249 0.0931403 0.0708987 0.0708987 0.0708987 0.0708987 1.249e-16 
2024  0 0.0798249 0.0931403 0.0798249 0.0798249 0.0798249 0.0798249 1.249e-16 
2025  0 0.0798249 0.0931403 0.0798249 0.0798249 0.0798249 0.0798249 1.249e-16 
2026  0 0.0798249 0.0931403 0.0798249 0.0798249 0.0798249 0.0798249 1.249e-16 
2027  0 0.0798249 0.0931403 0.0798249 0.0798249 0.0798249 0.0798249 1.249e-16 
2028  0 0.0798249 0.0931403 0.0798249 0.0798249 0.0798249 0.0798249 1.249e-16 
