
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
172881 69152.4 60508.3 28668.8 26731.2 121173 
CV Recruit
0.269229 
Alternative 1 Alternative  Stock: EBS_SKATE
Catch EBS_SKATE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 24130.7 25878.4 17427 17427 17427 17427 3.63798e-12 
2024  0 24130.7 25878.4 28104.4 28104.4 28104.4 28104.4 2.91038e-11 
2025  0 24130.7 25878.4 26895.4 26902.9 26904 26913.9 6.04613 
2026  0 24130.7 25878.4 26155.1 26181.4 26185.3 26219.6 21.1272 
2027  0 24130.7 25878.4 25712.6 25789.4 25800.3 25894.2 62.0823 
2028  0 24130.7 25878.4 25363.1 25551.8 25575.2 25816.7 151.328 
2029  0 24130.7 25878.4 24966.3 25342.8 25388.4 25887 299.932 
2030  0 24130.7 25878.4 24503.4 25115.1 25192.5 25982.6 494.953 
2031  0 24130.7 25878.4 23945.7 24942.6 24990.7 26077.9 703.628 
2032  0 24130.7 25878.4 23479.3 24763.1 24803.4 26112.8 899.661 
2033  0 24130.7 25878.4 23105.7 24558.1 24651.1 26091 1073.84 
2034  0 24130.7 25878.4 22788.5 24452.4 24542.1 26514.1 1223.44 
2035  0 24130.7 25878.4 22575.8 24377.9 24456.9 26688.7 1363.38 
2036  0 24130.7 25878.4 22139.8 24270.6 24330.5 26826 1544.85 

Spawning_Biomass EBS_SKATE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 172881 69152.4 60508.3 112692 112692 112692 112692 1.30967e-10 
2024 172881 69152.4 60508.3 107197 107197 107197 107197 1.89175e-10 
2025 172881 69152.4 60508.3 99482 99482 99482 99482 2.03727e-10 
2026 172881 69152.4 60508.3 92095.5 92095.5 92095.5 92095.5 2.03727e-10 
2027 172881 69152.4 60508.3 85578.7 85578.7 85578.7 85578.7 7.27596e-11 
2028 172881 69152.4 60508.3 80441.3 80441.3 80441.3 80441.3 1.30967e-10 
2029 172881 69152.4 60508.3 76963.2 76963.2 76963.2 76963.2 1.16415e-10 
2030 172881 69152.4 60508.3 74997.3 75015.9 75018.5 75043 14.9238 
