strata,model_name,year,variable,pred,pred_lci,pred_uci
Aleutian,Model 20,2000,biomass_pred,7494.182416655495,4432.946770993582,12669.39870823676
Aleutian,Model 20,2001,biomass_pred,11848.9646888571,6758.616144830622,20773.182141016674
Aleutian,Model 20,2002,biomass_pred,22088.150518146518,16626.15907722911,29344.504106212768
Aleutian,Model 20,2003,biomass_pred,21907.766360943897,14039.771473965413,34185.04551984329
Aleutian,Model 20,2004,biomass_pred,24556.00344682824,18113.788685426745,33289.40818249554
Aleutian,Model 20,2005,biomass_pred,16819.64050285079,10094.902784003194,28024.07439657908
Aleutian,Model 20,2006,biomass_pred,13679.572898072756,9181.658478553447,20380.927379382203
Aleutian,Model 20,2007,biomass_pred,14231.496604762342,8247.550782808392,24557.04741261336
Aleutian,Model 20,2008,biomass_pred,20593.501651080463,15167.560830401033,27960.48191236037
Aleutian,Model 20,2009,biomass_pred,21552.206464877774,12957.943008065924,35846.55397971605
Aleutian,Model 20,2010,biomass_pred,28578.18046234233,22070.56696345938,37004.59530062711
Aleutian,Model 20,2011,biomass_pred,27026.16521413253,16601.613559151152,43996.54308173968
Aleutian,Model 20,2012,biomass_pred,31114.225801336797,25838.109840436224,37467.7193182885
Aleutian,Model 20,2013,biomass_pred,19984.439026809974,12405.956854142136,32192.42239125959
Aleutian,Model 20,2014,biomass_pred,18250.114168781998,12022.03792224826,27704.676139575018
Aleutian,Model 20,2015,biomass_pred,22027.14775519071,13404.463128934805,36196.54390944335
Aleutian,Model 20,2016,biomass_pred,36226.620234756,28361.044234947287,46273.61400241025
Aleutian,Model 20,2017,biomass_pred,30314.235299629057,19288.06685016862,47643.59585332123
Aleutian,Model 20,2018,biomass_pred,24149.325606815957,16578.652995055552,35177.15989579784
Aleutian,Model 20,2019,biomass_pred,18095.65620918038,11684.785614509436,28023.858070124792
Aleutian,Model 20,2020,biomass_pred,17988.556144334576,10327.102405171441,31333.876576631592
Aleutian,Model 20,2021,biomass_pred,17882.0899566888,12072.254478253195,26487.9390833865
Aleutian,Model 20,2022,biomass_pred,18902.837615025706,13021.1200139451,27441.36214990402
Aleutian,Model 20,2023,biomass_pred,18902.837615025706,9023.680549594674,39597.73043119093
Aleutian,Model 20,2024,biomass_pred,18902.837615025706,7115.258253640336,50218.454083127435
Bering,Model 20,2000,biomass_pred,16196.925459455608,12159.797004686678,21574.40574361965
Bering,Model 20,2001,biomass_pred,14491.86689926935,11315.587583206781,18559.726101878805
Bering,Model 20,2002,biomass_pred,15077.207730242304,12030.394275184539,18895.656097471612
Bering,Model 20,2003,biomass_pred,13263.297435578115,10762.023347945189,16345.909424011868
Bering,Model 20,2004,biomass_pred,12833.937962002976,10656.571853797415,15456.186649165935
Bering,Model 20,2005,biomass_pred,9410.042650860705,6969.468143085608,12705.259694581817
Bering,Model 20,2006,biomass_pred,10869.193235225233,8740.771372698073,13515.896543602088
Bering,Model 20,2007,biomass_pred,9749.568300532666,7656.2979298000455,12415.14932129005
Bering,Model 20,2008,biomass_pred,11756.386529061347,9361.641881469439,14763.716233823794
Bering,Model 20,2009,biomass_pred,12505.751808168396,9398.331212887264,16640.595521155432
Bering,Model 20,2010,biomass_pred,13139.23618299498,10652.52715503931,16206.438618732383
Bering,Model 20,2011,biomass_pred,10670.645452470724,8029.63667536169,14180.302170048715
Bering,Model 20,2012,biomass_pred,12801.21133656801,10248.913297785097,15989.11093519463
Bering,Model 20,2013,biomass_pred,12220.327690799226,8484.942051536469,17600.168388123788
Bering,Model 20,2014,biomass_pred,12292.570184870994,9563.756434232704,15799.992690016948
Bering,Model 20,2015,biomass_pred,12164.4286949763,9751.199827163999,15174.883921766457
Bering,Model 20,2016,biomass_pred,12931.882432509175,10630.541876510802,15731.426035558732
Bering,Model 20,2017,biomass_pred,14070.863697928511,10704.533180436774,18495.828063527377
Bering,Model 20,2018,biomass_pred,14024.099788968555,11629.13741535112,16912.292620373137
Bering,Model 20,2019,biomass_pred,10342.837030651644,8291.521636182899,12901.64610748888
Bering,Model 20,2020,biomass_pred,11006.511332360617,6811.098910852791,17786.159516249747
Bering,Model 20,2021,biomass_pred,11712.77197449469,9350.500592847002,14671.837722940294
Bering,Model 20,2022,biomass_pred,12384.822452409966,9551.307967100993,16058.934305755922
Bering,Model 20,2023,biomass_pred,12384.822452409966,6215.2691947942785,24678.549290542018
Bering,Model 20,2024,biomass_pred,12384.822452409966,4838.821906786312,31698.58906412767
Big,Model 20,2000,biomass_pred,3075.5290882588897,1546.4725036387924,6116.42247144399
Big,Model 20,2001,biomass_pred,2433.009122462025,1203.0262171658578,4920.535650444037
Big,Model 20,2002,biomass_pred,2058.161299776898,1029.7871230204769,4113.498645695438
Big,Model 20,2003,biomass_pred,1898.9643430721837,886.4254047096625,4068.098180738278
Big,Model 20,2004,biomass_pred,1752.081130206102,841.7685152020211,3646.831915645543
Big,Model 20,2005,biomass_pred,1882.6220496848105,974.5376646373659,3636.868959065107
Big,Model 20,2006,biomass_pred,1967.7032018407117,1040.7743058777287,3720.1685981946807
Big,Model 20,2007,biomass_pred,2261.281602282093,1179.768823443801,4334.23428658949
Big,Model 20,2008,biomass_pred,2759.659578510642,1519.3727630577823,5012.411157047907
Big,Model 20,2009,biomass_pred,3406.1903848438305,1998.9178513730299,5804.206976206252
Big,Model 20,2010,biomass_pred,3720.31250586283,2092.685737302132,6613.857443842804
Big,Model 20,2011,biomass_pred,4019.14173112694,2132.5764745589954,7574.640556900313
Big,Model 20,2012,biomass_pred,4156.536687925161,1994.4780168810105,8662.315198181785
Big,Model 20,2013,biomass_pred,5104.526448127509,2453.6268415074787,10619.459250626984
Big,Model 20,2014,biomass_pred,6667.1237031712435,3446.4617979656955,12897.441224976048
Big,Model 20,2015,biomass_pred,10038.538380765696,6038.877470788801,16687.24913024987
Big,Model 20,2016,biomass_pred,11834.82909941915,7045.608971576345,19879.499469457696
Big,Model 20,2017,biomass_pred,14166.656216409023,8685.314898271357,23107.296707672012
Big,Model 20,2018,biomass_pred,17659.63973512185,11364.93942238947,27440.786438325384
Big,Model 20,2019,biomass_pred,14627.016590144582,8720.405673049563,24534.364839192822
Big,Model 20,2020,biomass_pred,14203.737017819294,7588.802714953689,26584.71340595409
Big,Model 20,2021,biomass_pred,13792.706395595626,7924.867576460126,24005.29067263988
Big,Model 20,2022,biomass_pred,13805.617885967262,7468.466101816368,25519.977277125952
Big,Model 20,2023,biomass_pred,13805.617885967262,5690.986703703621,33490.69241179255
Big,Model 20,2024,biomass_pred,13805.617885967262,4630.836968385425,41157.80506084011
Minor,Model 20,2000,biomass_pred,16101.92629505526,12320.085360293546,21044.661853318074
Minor,Model 20,2001,biomass_pred,21297.69793304759,13131.456575766071,34542.393269946726
Minor,Model 20,2002,biomass_pred,30496.195027462003,25173.15773012831,36944.825163507914
Minor,Model 20,2003,biomass_pred,29456.393103118746,17885.448424917155,48513.130564657935
Minor,Model 20,2004,biomass_pred,36666.05151773888,27872.908160611467,48233.19210735665
Minor,Model 20,2005,biomass_pred,31606.919426169145,19221.70295807081,51972.364664645356
Minor,Model 20,2006,biomass_pred,30317.006106374527,22958.317784179555,40034.32951378133
Minor,Model 20,2007,biomass_pred,19758.60212119959,12209.730843730676,31974.689924007016
Minor,Model 20,2008,biomass_pred,14222.190959235451,12082.886185499325,16740.264914826705
Minor,Model 20,2009,biomass_pred,24923.925691634337,15571.06741616466,39894.63633284554
Minor,Model 20,2010,biomass_pred,47355.202968468526,38917.89838494868,57621.69441945334
Minor,Model 20,2011,biomass_pred,42921.80643142242,26747.43515848712,68876.93928110815
Minor,Model 20,2012,biomass_pred,42451.182797615846,35265.02749144975,51101.70185897424
Minor,Model 20,2013,biomass_pred,37119.88164546289,22976.530135028668,59969.26451799305
Minor,Model 20,2014,biomass_pred,32458.120659256587,25156.96258487238,41878.25112735898
Minor,Model 20,2015,biomass_pred,32220.29466701952,19888.742108678896,52197.73994538085
Minor,Model 20,2016,biomass_pred,35257.74801086842,29216.59466565133,42548.038504273885
