species_group,model_name,strata,year,variable,pred,pred_lci,pred_uci
AK,Model 14,AI,2014,biomass_pred,2718.303679342204,1629.6204652971144,4534.291910588003
AK,Model 14,AI,2015,biomass_pred,2475.1082805933142,1262.179818214283,4853.635680317573
AK,Model 14,AI,2016,biomass_pred,2253.6705693397907,1203.263448195419,4221.046556949397
AK,Model 14,AI,2017,biomass_pred,2385.4041304035018,1271.9329254084532,4473.626518881741
AK,Model 14,AI,2018,biomass_pred,2524.8378990071333,1771.8354870353867,3597.8545767412115
AK,Model 14,AI,2019,biomass_pred,2183.9849788658494,1087.0640627924051,4387.77304040318
AK,Model 14,AI,2020,biomass_pred,1889.1471764533228,822.7846789150058,4337.55895771879
AK,Model 14,AI,2021,biomass_pred,1634.1124544523614,692.2154210769255,3857.6481142848875
AK,Model 14,AI,2022,biomass_pred,1413.507400100808,640.1121968844286,3121.3327598887827
AK,Model 14,AI,2023,biomass_pred,1413.507400100808,492.5351178000146,4056.5699742673014
AK,Model 14,AI,2024,biomass_pred,1413.507400100808,399.7118287491503,4998.609063915507
AK,Model 14,EBS_SHELF,1980,biomass_pred,39723.568956734984,11230.764192909528,140503.52260594303
AK,Model 14,EBS_SHELF,1981,biomass_pred,39723.568956734984,13838.279846131112,114028.76283800864
AK,Model 14,EBS_SHELF,1982,biomass_pred,39723.568956734984,17983.16783259034,87746.60534507093
AK,Model 14,EBS_SHELF,1983,biomass_pred,50038.188441539525,38774.36083866456,64574.121877317695
AK,Model 14,EBS_SHELF,1984,biomass_pred,81880.63097864528,67814.5973452391,98864.2267582787
AK,Model 14,EBS_SHELF,1985,biomass_pred,62215.03470195086,39092.264141924265,99014.74442391864
AK,Model 14,EBS_SHELF,1986,biomass_pred,72894.59512160368,46529.01342897658,114200.18621399344
AK,Model 14,EBS_SHELF,1987,biomass_pred,116467.7165889175,94112.96579216569,144132.41462809776
AK,Model 14,EBS_SHELF,1988,biomass_pred,97443.82797436905,70110.05086597672,135434.21368285362
AK,Model 14,EBS_SHELF,1989,biomass_pred,63615.85994246019,31811.706221306624,127216.61667767304
AK,Model 14,EBS_SHELF,1990,biomass_pred,49271.036130655455,22113.183760804073,109782.24699110819
AK,Model 14,EBS_SHELF,1991,biomass_pred,38160.84548073582,17401.183165305043,83686.8455420955
AK,Model 14,EBS_SHELF,1992,biomass_pred,29555.906312644976,15645.049666331653,55835.65514922854
AK,Model 14,EBS_SHELF,1993,biomass_pred,53746.215265567276,24912.66909851348,115951.27137722312
AK,Model 14,EBS_SHELF,1994,biomass_pred,97735.30964729158,45386.296433376956,210464.20401086775
AK,Model 14,EBS_SHELF,1995,biomass_pred,177727.6912365514,94711.73005086077,333508.1326812685
AK,Model 14,EBS_SHELF,1996,biomass_pred,323190.58839908463,286428.4703941596,364670.99896182795
AK,Model 14,EBS_SHELF,1997,biomass_pred,307265.0424864327,268669.9987828983,351404.3501763655
AK,Model 14,EBS_SHELF,1998,biomass_pred,339633.2377172794,305644.28104118037,377401.91234522226
AK,Model 14,EBS_SHELF,1999,biomass_pred,312281.9247388661,236155.90999984447,412947.5333421682
AK,Model 14,EBS_SHELF,2000,biomass_pred,301064.7835346158,269317.5763163722,336554.35758960136
AK,Model 14,EBS_SHELF,2001,biomass_pred,397125.18287390814,354289.27832061244,445140.23009727517
AK,Model 14,EBS_SHELF,2002,biomass_pred,348566.5295462415,305833.2769367629,397270.78340475395
AK,Model 14,EBS_SHELF,2003,biomass_pred,353973.671478069,318700.5165551675,393150.7907611902
AK,Model 14,EBS_SHELF,2004,biomass_pred,401650.4012224291,364712.08944735036,442329.8526972103
AK,Model 14,EBS_SHELF,2005,biomass_pred,459463.4953072943,415960.597954788,507516.1074341514
AK,Model 14,EBS_SHELF,2006,biomass_pred,425195.6471050807,383784.8683048086,471074.6911822504
AK,Model 14,EBS_SHELF,2007,biomass_pred,451780.5931573983,395004.18205942307,516717.83141512587
AK,Model 14,EBS_SHELF,2008,biomass_pred,348857.8518967553,312083.630915759,389965.34509965865
AK,Model 14,EBS_SHELF,2009,biomass_pred,339342.3357352861,299431.63239351637,384572.66489114286
AK,Model 14,EBS_SHELF,2010,biomass_pred,352788.7671869418,312434.93292788556,398354.6688807982
AK,Model 14,EBS_SHELF,2011,biomass_pred,391122.5050001899,354091.78723032,432025.87417854846
AK,Model 14,EBS_SHELF,2012,biomass_pred,353386.28656204196,313384.2412860868,398494.4074329049
AK,Model 14,EBS_SHELF,2013,biomass_pred,374985.19055520085,331656.6533803722,423974.28696976043
AK,Model 14,EBS_SHELF,2014,biomass_pred,393228.1847997672,355389.9768032519,435095.0094648392
AK,Model 14,EBS_SHELF,2015,biomass_pred,434152.3976122048,388583.91347480833,485064.6097696619
AK,Model 14,EBS_SHELF,2016,biomass_pred,529709.6063044687,487698.34423560265,575339.7983153366
AK,Model 14,EBS_SHELF,2017,biomass_pred,516274.1379645636,448877.18233933905,593790.453196966
AK,Model 14,EBS_SHELF,2018,biomass_pred,525435.041033543,477961.18593860144,577624.2725730166
AK,Model 14,EBS_SHELF,2019,biomass_pred,477012.23913298687,433407.2555294263,525004.3080259807
AK,Model 14,EBS_SHELF,2020,biomass_pred,464397.00263491634,282640.4083894,763035.1841240217
AK,Model 14,EBS_SHELF,2021,biomass_pred,452115.3931988917,410947.6603995171,497407.2089099272
AK,Model 14,EBS_SHELF,2022,biomass_pred,443026.44694355514,395904.87541375763,495756.5437563951
AK,Model 14,EBS_SHELF,2023,biomass_pred,443026.44694355514,218975.46220039733,896321.5819670709
AK,Model 14,EBS_SHELF,2024,biomass_pred,443026.44694355514,164587.3135757219,1192512.5237622361
AK,Model 14,EBS_SLOPE,1980,biomass_pred,11447.10434665301,406.01511691873736,322737.2392377907
AK,Model 14,EBS_SLOPE,1981,biomass_pred,11447.10434665301,436.87878189921685,299937.1984913445
AK,Model 14,EBS_SLOPE,1982,biomass_pred,11447.10434665301,470.8798355762512,278279.48453728826
AK,Model 14,EBS_SLOPE,1983,biomass_pred,11447.10434665301,508.44310065048944,257720.4760090515
AK,Model 14,EBS_SLOPE,1984,biomass_pred,11447.10434665301,550.0689752698603,238217.75779824084
AK,Model 14,EBS_SLOPE,1985,biomass_pred,11447.10434665301,596.3507696891747,219730.07260720042
AK,Model 14,EBS_SLOPE,1986,biomass_pred,11447.10434665301,647.9970733937581,202217.26810722437
AK,Model 14,EBS_SLOPE,1987,biomass_pred,11447.10434665301,705.8609675475631,185640.2378763529
AK,Model 14,EBS_SLOPE,1988,biomass_pred,11447.10434665301,770.9787002938858,169960.85348818733
AK,Model 14,EBS_SLOPE,1989,biomass_pred,11447.10434665301,844.6216755748065,155141.88389018748
AK,Model 14,EBS_SLOPE,1990,biomass_pred,11447.10434665301,928.3675474780525,141146.896268754
AK,Model 14,EBS_SLOPE,1991,biomass_pred,11447.10434665301,1024.1993538657975,127940.12945680114
AK,Model 14,EBS_SLOPE,1992,biomass_pred,11447.10434665301,1134.6468695460226,115486.3256932004
AK,Model 14,EBS_SLOPE,1993,biomass_pred,11447.10434665301,1262.9934422521796,103750.49746061813
AK,Model 14,EBS_SLOPE,1994,biomass_pred,11447.10434665301,1413.5879725021316,92697.58973063463
AK,Model 14,EBS_SLOPE,1995,biomass_pred,11447.10434665301,1592.332799276372,82291.96684431232
AK,Model 14,EBS_SLOPE,1996,biomass_pred,11447.10434665301,1807.4808304060898,72496.59067959353
AK,Model 14,EBS_SLOPE,1997,biomass_pred,11447.10434665301,2071.010588503075,63271.62142511063
AK,Model 14,EBS_SLOPE,1998,biomass_pred,11447.10434665301,2401.168247336016,54571.85187607767
AK,Model 14,EBS_SLOPE,1999,biomass_pred,11447.10434665301,2827.618977050487,46341.53292458349
AK,Model 14,EBS_SLOPE,2000,biomass_pred,11447.10434665301,3403.3184348128993,38502.47939857149
AK,Model 14,EBS_SLOPE,2001,biomass_pred,11447.10434665301,4237.807438346729,30920.75320304846
AK,Model 14,EBS_SLOPE,2002,biomass_pred,11447.10434665301,5630.249511632437,23273.60406540305
AK,Model 14,EBS_SLOPE,2003,biomass_pred,7989.754118010079,3824.5857263421685,16691.00274745623
AK,Model 14,EBS_SLOPE,2004,biomass_pred,5576.62173184645,2973.5100070365484,10458.58593598466
AK,Model 14,EBS_SLOPE,2005,biomass_pred,5235.921414129052,2368.0298085507857,11577.081063735783
AK,Model 14,EBS_SLOPE,2006,biomass_pred,4916.035975396517,2138.987324507361,11298.528717068893
AK,Model 14,EBS_SLOPE,2007,biomass_pred,4615.693743259286,2149.4090029841427,9911.85423620379
AK,Model 14,EBS_SLOPE,2008,biomass_pred,4333.700737380087,2495.9755544553036,7524.497604812184
AK,Model 14,EBS_SLOPE,2009,biomass_pred,4242.1222039564755,1961.6802673169548,9173.564669595027
AK,Model 14,EBS_SLOPE,2010,biomass_pred,4152.4788820973545,1779.2970773116785,9690.951042485209
AK,Model 14,EBS_SLOPE,2011,biomass_pred,7545.017667912089,3747.924411132965,15189.0180709106
AK,Model 14,EBS_SLOPE,2012,biomass_pred,13709.230853535963,9256.040802445152,20304.902993285617
AK,Model 14,EBS_SLOPE,2013,biomass_pred,12463.824492517648,6241.283284652801,24890.221112423784
AK,Model 14,EBS_SLOPE,2014,biomass_pred,11331.556280578287,5175.224730794042,24811.32210083019
AK,Model 14,EBS_SLOPE,2015,biomass_pred,10302.14825449422,4868.768346148469,21798.99537457718
AK,Model 14,EBS_SLOPE,2016,biomass_pred,9366.256146076512,5314.70332835909,16506.4254340988
AK,Model 14,EBS_SLOPE,2017,biomass_pred,9366.256146076512,3818.666003786657,22973.14143392605
AK,Model 14,EBS_SLOPE,2018,biomass_pred,9366.256146076512,3009.622724567224,29148.75458568679
AK,Model 14,EBS_SLOPE,2019,biomass_pred,9366.256146076512,2473.519199359432,35466.372857196606
AK,Model 14,EBS_SLOPE,2020,biomass_pred,9366.256146076512,2085.2148268417236,42070.84712071965
AK,Model 14,EBS_SLOPE,2021,biomass_pred,9366.256146076512,1788.9425714721415,49038.3288948872
AK,Model 14,EBS_SLOPE,2022,biomass_pred,9366.256146076512,1554.89575031997,56419.70156254105
AK,Model 14,EBS_SLOPE,2023,biomass_pred,9366.256146076512,1365.3007751762275,64254.526027492095
AK,Model 14,EBS_SLOPE,2024,biomass_pred,9366.256146076512,1208.7448973566056,72576.73177009058
