species_group,model_name,strata,year,variable,pred,pred_lci,pred_uci
AK,Model 14,AI,1980,biomass_pred,426.59546905330507,179.93938483788293,1011.3611001880897
AK,Model 14,AI,1981,biomass_pred,397.0508261449172,169.21014729308044,931.6779227743634
AK,Model 14,AI,1982,biomass_pred,369.5523510650845,175.20500212754123,779.4808282831763
AK,Model 14,AI,1983,biomass_pred,343.9583327497873,212.09462776932327,557.8044852540344
AK,Model 14,AI,1984,biomass_pred,375.7992715628761,175.5316242696206,804.5564045500046
AK,Model 14,AI,1985,biomass_pred,410.5877923589147,169.32160640977872,995.633922974825
AK,Model 14,AI,1986,biomass_pred,448.59675893746714,178.50357501495876,1127.367068767872
AK,Model 14,AI,1987,biomass_pred,599.7365078542525,218.49176456676238,1646.2125223182443
AK,Model 14,AI,1988,biomass_pred,801.7977653364029,283.71668264894316,2265.9212369753973
AK,Model 14,AI,1989,biomass_pred,1071.9368390604645,388.846852306038,2955.0157860879203
AK,Model 14,AI,1990,biomass_pred,1433.0902836238818,564.922482475483,3635.450570169702
AK,Model 14,AI,1991,biomass_pred,1915.9223623821483,886.3582158791113,4141.393888965362
AK,Model 14,AI,1992,biomass_pred,2863.2364994947493,1304.7933391646802,6283.081776986484
AK,Model 14,AI,1993,biomass_pred,4278.943350212728,2174.263179134393,8420.947551353445
AK,Model 14,AI,1994,biomass_pred,6394.636348607809,4546.949840705551,8993.14385763954
AK,Model 14,AI,1995,biomass_pred,6835.049903558816,3666.56705666878,12741.59355661272
AK,Model 14,AI,1996,biomass_pred,7305.795769654745,3943.8755067732022,13533.55392081714
AK,Model 14,AI,1997,biomass_pred,7808.963004076165,5757.862349338793,10590.719176541776
AK,Model 14,AI,1998,biomass_pred,8394.5552787215,4553.918722358105,15474.26790503214
AK,Model 14,AI,1999,biomass_pred,9024.060978484267,4922.15559386221,16544.31173304394
AK,Model 14,AI,2000,biomass_pred,9700.773160648585,7404.748520971035,12708.736785299941
AK,Model 14,AI,2001,biomass_pred,10187.528320508434,5926.922396007518,17510.89795794751
AK,Model 14,AI,2002,biomass_pred,10698.707367178802,7615.681467791673,15029.822322875687
AK,Model 14,AI,2003,biomass_pred,11515.039639312665,6589.021698883125,20123.7974246492
AK,Model 14,AI,2004,biomass_pred,12393.65965852253,8615.514205046888,17828.628225267126
AK,Model 14,AI,2005,biomass_pred,12368.511287183943,7098.068194782923,21552.353015379158
AK,Model 14,AI,2006,biomass_pred,12343.41394521024,8933.716372515522,17054.477830921973
AK,Model 14,AI,2007,biomass_pred,9117.26484046352,4723.43000069723,17598.33810575836
AK,Model 14,AI,2008,biomass_pred,6734.321520782177,3214.886992465283,14106.588023640992
AK,Model 14,AI,2009,biomass_pred,4974.198637292673,2548.357161877544,9709.256007511409
AK,Model 14,AI,2010,biomass_pred,3674.1120849202402,2547.2348387077673,5299.511221904124
AK,Model 14,AI,2011,biomass_pred,2799.191418688287,1510.6478160925678,5186.829461499065
AK,Model 14,AI,2012,biomass_pred,2132.616647874596,1199.3306347004436,3792.1600893050177
AK,Model 14,AI,2013,biomass_pred,2407.716694410692,1251.411346609557,4632.44935108668
