strata,model_name,year,variable,pred,pred_lci,pred_uci
Aleutian,Model 20,2000,biomass_pred,5510.032026424451,3480.5122127489385,8722.984169115784
Aleutian,Model 20,2001,biomass_pred,1742.5586894305918,626.185702485244,4849.217690628471
Aleutian,Model 20,2002,biomass_pred,25519.07218505169,18108.098783302783,35963.08220862823
Aleutian,Model 20,2003,biomass_pred,18709.887585415938,8725.40179338876,40119.63021853525
Aleutian,Model 20,2004,biomass_pred,28478.255449380187,19539.300474102274,41506.65652104999
Aleutian,Model 20,2005,biomass_pred,9175.042830038159,3547.9409733391194,23726.835244896396
Aleutian,Model 20,2006,biomass_pred,11925.851550488735,7781.308262266624,18277.89497737562
Aleutian,Model 20,2007,biomass_pred,3181.090563982774,1471.3194388867682,6877.72954588077
Aleutian,Model 20,2008,biomass_pred,21981.0633429172,15327.354881995052,31523.19166648329
Aleutian,Model 20,2009,biomass_pred,2867.7553811906723,1205.663432518343,6821.158131312016
Aleutian,Model 20,2010,biomass_pred,29827.761361146262,22301.316005253055,39894.298058819615
Aleutian,Model 20,2011,biomass_pred,3526.649273612934,1381.1443348069233,9005.036465514147
Aleutian,Model 20,2012,biomass_pred,32632.858005883878,26710.320002231907,39868.613387754114
Aleutian,Model 20,2013,biomass_pred,11854.320834399407,6215.243058977561,22609.72275925648
Aleutian,Model 20,2014,biomass_pred,15465.46994134414,9783.274031366205,24447.926097110278
Aleutian,Model 20,2015,biomass_pred,11701.88265453206,5680.357252767777,24106.592519989234
Aleutian,Model 20,2016,biomass_pred,40804.67674043581,30758.428343363237,54132.208099336334
Aleutian,Model 20,2017,biomass_pred,35940.172741145136,13875.823996848296,93089.68007642233
Aleutian,Model 20,2018,biomass_pred,25311.330497567607,15541.148568350327,41223.68747325485
Aleutian,Model 20,2019,biomass_pred,14911.335537282836,8939.057170243372,24873.75606519143
Aleutian,Model 20,2020,biomass_pred,16135.850841328587,1245.8257782290455,208990.44386745396
Aleutian,Model 20,2021,biomass_pred,17460.923048952343,10730.065859074235,28413.97599285004
Aleutian,Model 20,2022,biomass_pred,19546.613206046848,12767.061406960955,29926.235618988245
Aleutian,Model 20,2023,biomass_pred,19546.613206046848,527.4995857613641,724304.0528180625
Aleutian,Model 20,2024,biomass_pred,19546.613206046848,120.25638500690904,3177129.3291816027
Bering,Model 20,2000,biomass_pred,16721.683650479612,12155.931985074783,23002.325486028698
Bering,Model 20,2001,biomass_pred,14152.116189176455,10720.783785903013,18681.693114201767
Bering,Model 20,2002,biomass_pred,15530.266014696519,11996.624228330764,20104.752628464823
Bering,Model 20,2003,biomass_pred,13145.72059023058,10453.859529860514,16530.733873245186
Bering,Model 20,2004,biomass_pred,13206.799382721543,10773.534455409623,16189.631235446073
Bering,Model 20,2005,biomass_pred,8262.732934341655,5898.44720463253,11574.699777025065
Bering,Model 20,2006,biomass_pred,11293.59761276672,8820.585154547989,14459.964367933842
Bering,Model 20,2007,biomass_pred,9296.992165473235,7128.359708706113,12125.379029246487
Bering,Model 20,2008,biomass_pred,12031.332449604119,9292.027373703922,15578.189203633032
Bering,Model 20,2009,biomass_pred,12644.880778475022,8894.926092426838,17975.754743817422
Bering,Model 20,2010,biomass_pred,13615.368927253548,10766.926743106238,17217.380172472516
Bering,Model 20,2011,biomass_pred,9689.357561670027,7041.063376585366,13333.731701676847
Bering,Model 20,2012,biomass_pred,13270.443330977576,10336.126066396762,17037.782344123287
Bering,Model 20,2013,biomass_pred,11989.150183421609,7101.738476564165,20240.075383651692
Bering,Model 20,2014,biomass_pred,12385.784859661499,9298.720036338396,16497.71860969245
Bering,Model 20,2015,biomass_pred,12079.359700651721,9451.412417491285,15438.00273784459
Bering,Model 20,2016,biomass_pred,12932.528293643087,10457.301243777452,15993.637762458084
Bering,Model 20,2017,biomass_pred,14497.24174816447,10354.668168867833,20297.127332058437
Bering,Model 20,2018,biomass_pred,14478.42775633497,11787.523353658971,17783.62290415663
Bering,Model 20,2019,biomass_pred,9885.166451732288,7846.2566043769,12453.90263223663
Bering,Model 20,2020,biomass_pred,10782.71111548398,848.5783986667864,137013.69158424292
Bering,Model 20,2021,biomass_pred,11761.750251520252,9205.186496633158,15028.350488035716
Bering,Model 20,2022,biomass_pred,12570.1957674868,9484.65471363714,16659.522819081107
Bering,Model 20,2023,biomass_pred,12570.1957674868,344.0658097646274,459243.0202263815
Bering,Model 20,2024,biomass_pred,12570.1957674868,78.11555342607977,2022770.3024912558
Big,Model 20,2000,biomass_pred,5540.900850501224,1718.5142947076135,17865.188744507203
Big,Model 20,2001,biomass_pred,2041.1450697976773,612.8118375946509,6798.61735751126
Big,Model 20,2002,biomass_pred,1690.765770532809,668.6375375258162,4275.393962151024
Big,Model 20,2003,biomass_pred,1292.1616666616478,93.07705444824884,17938.704471123503
Big,Model 20,2004,biomass_pred,987.5299121200226,360.3221709004713,2706.50935770798
Big,Model 20,2005,biomass_pred,2067.987411621221,669.2993405823229,6389.625202533455
Big,Model 20,2006,biomass_pred,1649.6477246564943,678.8292434358651,4008.8691549150353
Big,Model 20,2007,biomass_pred,1885.692300707615,578.0772899547128,6151.141922953842
Big,Model 20,2008,biomass_pred,2883.91659488138,1023.4198018976227,8126.650384144315
Big,Model 20,2009,biomass_pred,4367.722106725464,1825.522924483816,10450.154389034871
Big,Model 20,2010,biomass_pred,4160.108770001823,1575.4173722073685,10985.34603182482
Big,Model 20,2011,biomass_pred,4580.560783832824,1458.4698687519965,14385.99284354153
Big,Model 20,2012,biomass_pred,1601.3694013980958,575.8713815526439,4453.049833489025
Big,Model 20,2013,biomass_pred,3111.931501519589,776.2422321970763,12475.638748409801
Big,Model 20,2014,biomass_pred,3971.680745680056,1451.1944649137602,10869.837452517502
Big,Model 20,2015,biomass_pred,14206.963575981177,6037.237851743206,33432.14546217965
Big,Model 20,2016,biomass_pred,12275.306284391176,5184.275099297861,29065.42216404015
Big,Model 20,2017,biomass_pred,14100.842548375176,6684.289486020286,29746.43168730414
Big,Model 20,2018,biomass_pred,27135.07182621452,12758.508633719473,57711.45704818674
Big,Model 20,2019,biomass_pred,12298.072615463267,6181.015350715259,24468.890865593134
Big,Model 20,2020,biomass_pred,12945.71381240043,972.577714009814,172316.82743543122
Big,Model 20,2021,biomass_pred,13627.461095151652,6395.4650397775,29037.40302618129
Big,Model 20,2022,biomass_pred,14353.998560521015,6458.681102545651,31900.827956071556
Big,Model 20,2023,biomass_pred,14353.998560521015,363.8542647432295,566263.1845770422
Big,Model 20,2024,biomass_pred,14353.998560521015,84.45580597152184,2439586.8620910957
Minor,Model 20,2000,biomass_pred,15069.53145034706,11541.723988328022,19675.63757049231
Minor,Model 20,2001,biomass_pred,473.4401331772603,112.204175141122,1997.6579251261237
Minor,Model 20,2002,biomass_pred,30981.042051547254,25248.58345245524,38015.00263993635
Minor,Model 20,2003,biomass_pred,693.6028021951687,351.95993130213867,1366.8739092916937
Minor,Model 20,2004,biomass_pred,38142.19295057778,27836.950320897005,52262.43774221837
Minor,Model 20,2005,biomass_pred,2811.8255487804922,844.7082514282725,9359.874138090005
Minor,Model 20,2006,biomass_pred,32343.657085932624,23438.319615923403,44632.55774452778
Minor,Model 20,2007,biomass_pred,5263.160752307361,1398.5746382712157,19806.4946600703
Minor,Model 20,2008,biomass_pred,13361.089724428215,11412.20470714645,15642.789733032992
Minor,Model 20,2009,biomass_pred,864.8673754640903,207.85504538335653,3598.6404648613757
Minor,Model 20,2010,biomass_pred,49817.377549862664,40246.743840488074,61663.89797350284
Minor,Model 20,2011,biomass_pred,542.9897285258822,169.72646735013848,1737.135344226386
Minor,Model 20,2012,biomass_pred,42457.96667760864,34964.439631917136,51557.49536884779
Minor,Model 20,2013,biomass_pred,36445.75210597043,2868.599923825101,463045.6954062285
Minor,Model 20,2014,biomass_pred,31284.890693325622,23880.20946858063,40985.586285625905
Minor,Model 20,2015,biomass_pred,1248.9304623567748,383.84645132905666,4063.6751867885046
Minor,Model 20,2016,biomass_pred,35810.16205989078,29327.757901173663,43725.39186516957
Minor,Model 20,2017,biomass_pred,665.1604808134471,158.25770797793697,2795.6835144968572
Minor,Model 20,2018,biomass_pred,20558.610752223438,14981.363001602398,28212.151058366988
Minor,Model 20,2019,biomass_pred,1048.9002254557142,438.26678554397193,2510.3241204909064
Minor,Model 20,2020,biomass_pred,966.8682524949987,68.09660837830504,13728.058415029114
Minor,Model 20,2021,biomass_pred,891.251803551263,256.7554526164372,3093.7211624479714
Minor,Model 20,2022,biomass_pred,19224.867225354705,11703.748729921152,31579.24254539319
Minor,Model 20,2023,biomass_pred,19224.867225354705,514.1835392564585,718800.7620138439
Minor,Model 20,2024,biomass_pred,19224.867225354705,117.52598856724667,3144798.221552844
