strata,model_name,year,variable,pred,pred_lci,pred_uci
Aleutian,Model 20,1982,biomass_pred,340.23644370103915,135.03573078007145,857.2607927813306
Aleutian,Model 20,1983,biomass_pred,15429.37131749471,10314.445881878968,23080.78417197147
Aleutian,Model 20,1984,biomass_pred,8913.023975893033,3411.7176965186277,23285.043916707393
Aleutian,Model 20,1985,biomass_pred,6333.838685301158,2797.5919941712928,14340.015475809632
Aleutian,Model 20,1986,biomass_pred,3239.3604207610783,1229.8067283009982,8532.605729105338
Aleutian,Model 20,1987,biomass_pred,4979.061034235104,2265.3943915786713,10943.369893911657
Aleutian,Model 20,1988,biomass_pred,5761.913572559929,1831.1042406037427,18130.943766862732
Aleutian,Model 20,1989,biomass_pred,4324.467660266869,223.77323827911857,83571.30052060865
Aleutian,Model 20,1990,biomass_pred,3245.6267018224985,179.3423253340462,58737.34863179788
Aleutian,Model 20,1991,biomass_pred,2435.9281916639716,1631.5121162598718,3636.961133053677
Aleutian,Model 20,1992,biomass_pred,2733.4821041227397,154.42121698784152,48386.643748233
Aleutian,Model 20,1993,biomass_pred,3067.382872421718,173.0380579605162,54374.38328262459
Aleutian,Model 20,1994,biomass_pred,3442.0703438428827,2238.415429268878,5292.96219863551
Aleutian,Model 20,1995,biomass_pred,13702.477805201237,1132.0125771980704,165862.02466651585
Aleutian,Model 20,1996,biomass_pred,54547.95493586905,35385.114131667084,84088.44964054432
Aleutian,Model 20,1997,biomass_pred,63828.455802064214,40621.20632969741,100294.20931050948
Aleutian,Model 20,1998,biomass_pred,966.2034064590839,484.3738171867273,1927.3317209324966
Aleutian,Model 20,1999,biomass_pred,2289.476930313707,186.1617794238674,28156.717402791714
Aleutian,Model 20,2000,biomass_pred,5425.052923015794,3433.8472595342464,8570.91099081505
Aleutian,Model 20,2001,biomass_pred,1767.1779836933683,639.0501757170662,4886.811935457793
Aleutian,Model 20,2002,biomass_pred,25487.63661235556,18089.071575123922,35912.269868888354
Aleutian,Model 20,2003,biomass_pred,18739.21745074276,8754.2530179847,40112.876557806114
