strata,model_name,year,variable,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
Aleutian,M20_EBSshelf_spec,1999,biomass_pred,2904.9106813467065,1369.658795410115,6161.027910659645,NA,NA,NA,NA
Aleutian,M20_EBSshelf_spec,2000,biomass_pred,2904.9106813467065,1583.7093369120792,5328.317431692107,2219.16,0.53721408234622825,827.1266845765442,5953.950219997117
Aleutian,M20_EBSshelf_spec,2001,biomass_pred,3067.726138518952,1800.639108946993,5226.446329079167,1208.37,0.6138168348381515,398.9170001455688,3660.305417836727
Aleutian,M20_EBSshelf_spec,2002,biomass_pred,3762.548867343737,2370.343208761604,5972.4574596713755,2874.56,0.4691888545136281,1199.1943608953086,6890.538734213893
Aleutian,M20_EBSshelf_spec,2003,biomass_pred,4946.764302335218,3159.964606765371,7743.908590136619,18043.46,0.42538795441525235,8112.903892055165,40129.45957493985
Aleutian,M20_EBSshelf_spec,2004,biomass_pred,4361.630701567108,2857.954931894122,6656.445895822662,2474.22,0.4072468927330087,1148.1515875032546,5331.843525742317
Aleutian,M20_EBSshelf_spec,2005,biomass_pred,4649.0954727280205,2992.0863240702424,7223.7517148695615,8191.49,0.5594573343131722,2945.6320378951955,22779.664111762813
Aleutian,M20_EBSshelf_spec,2006,biomass_pred,4453.48125467259,2918.65808380798,6795.415809666661,5511.79,0.4125349756335583,2534.225463243369,11987.816176868124
Aleutian,M20_EBSshelf_spec,2007,biomass_pred,3979.0298913312204,2593.3822421641244,6105.030958681701,2698.65,0.4294938200474699,1204.8129924527575,6044.682343335185
Aleutian,M20_EBSshelf_spec,2008,biomass_pred,3999.4943048700907,2564.782952243761,6236.767396123901,6214.63,0.566149887911657,2211.001901430323,17467.929815851887
Aleutian,M20_EBSshelf_spec,2009,biomass_pred,3705.787486764813,2374.1717645227754,5784.274374024947,2156.89,0.49345976217679854,863.8930136199762,5385.128017884942
Aleutian,M20_EBSshelf_spec,2010,biomass_pred,3900.6828870676586,2562.3113854301446,5938.1256595042005,3285.96,0.35414881540655313,1675.2122178650484,6445.471807363472
Aleutian,M20_EBSshelf_spec,2011,biomass_pred,4423.527174539485,2855.8779966642805,6851.690683826331,2513.15,0.5452759428806132,924.5587017466548,6831.283844463432
Aleutian,M20_EBSshelf_spec,2012,biomass_pred,5608.370720009164,3763.276947961315,8358.093908048844,4517.13,0.36498814956795,2258.630976872715,9033.996100218159
Aleutian,M20_EBSshelf_spec,2013,biomass_pred,7771.257438047851,5285.062074169153,11427.007161104753,11341.37,0.3505422034115891,5819.502693094341,22102.691631972873
Aleutian,M20_EBSshelf_spec,2014,biomass_pred,9107.616818276976,6142.080101300229,13504.982471817988,8044.77,0.40832518446576754,3726.1155173881243,17368.845397006207
Aleutian,M20_EBSshelf_spec,2015,biomass_pred,11124.081010110414,7558.052482080814,16372.627553577235,10939.66,0.3989106226278552,5151.170693453475,23232.808236716814
Aleutian,M20_EBSshelf_spec,2016,biomass_pred,13666.214803641928,9562.139018080628,19531.762370964825,14252.27,0.26916537209155106,8487.2025799642,23933.351211908597
Aleutian,M20_EBSshelf_spec,2017,biomass_pred,16279.630154486338,10766.68195016639,24615.416262274295,36603.36,0.5612577215163853,13124.595307034579,102083.60196611064
Aleutian,M20_EBSshelf_spec,2018,biomass_pred,16659.340234916282,11435.185257868727,24270.14611518649,18707.98,0.3335811250799535,9897.78546178518,35360.28508919358
Aleutian,M20_EBSshelf_spec,2019,biomass_pred,16112.270665179636,11306.191086325523,22961.337200641563,14722.36,0.26979856699428945,8756.822325991232,24751.887831076332
Aleutian,M20_EBSshelf_spec,2020,biomass_pred,16645.197107995224,10948.851368487038,25305.173797632648,NA,NA,NA,NA
Aleutian,M20_EBSshelf_spec,2021,biomass_pred,17195.750525888,12257.471869566969,24123.558209644394,17449.71,0.25593975314331663,10650.703935264002,28588.94406743757
Aleutian,M20_EBSshelf_spec,2022,biomass_pred,17554.9790453471,12617.807138360422,24423.997442920245,18040.27,0.2394839097680372,11356.103361225416,28658.716050800438
Aleutian,M20_EBSshelf_spec,2023,biomass_pred,17477.321125396837,11525.48676170087,26502.72045214383,17335.71,0.3143433068441955,9498.390512627822,31639.76473746357
Aleutian,M20_EBSshelf_spec,2024,biomass_pred,17477.321125396837,9507.98768196895,32126.330401070463,NA,NA,NA,NA
Bering,M20_EBSshelf_spec,1999,biomass_pred,11312.178627483008,8227.125718001125,15554.081666710454,9344.3,0.20170871878049385,6317.728318554355,13820.781471967424
Bering,M20_EBSshelf_spec,2000,biomass_pred,14468.298998187072,11275.325373595173,18565.466535551954,16749.94,0.16438129072824223,12162.511730408554,23067.643939215835
