strata,model_name,year,variable,pred,pred_lci,pred_uci
Alaska,Model 20,2000,biomass_pred,9840.622146197213,7422.67774791862,13046.214252178892
Alaska,Model 20,2001,biomass_pred,10308.102035302112,4973.120236007436,21366.257505872352
Alaska,Model 20,2002,biomass_pred,10797.789610412108,7561.441080384689,15419.317459627951
Alaska,Model 20,2003,biomass_pred,11727.142343432666,5577.1244051950625,24658.92053887605
Alaska,Model 20,2004,biomass_pred,12736.483345676394,8599.972600771218,18862.61916696629
Alaska,Model 20,2005,biomass_pred,12817.8911378488,6098.885274404226,26939.075885107934
Alaska,Model 20,2006,biomass_pred,12899.819264280419,9070.73666749566,18345.294671313957
Alaska,Model 20,2007,biomass_pred,9417.067535040607,3859.188069228649,22979.227591061874
Alaska,Model 20,2008,biomass_pred,6874.6049183087225,2500.834879740005,18897.766168291673
Alaska,Model 20,2009,biomass_pred,5018.567893559299,2046.879690397799,12304.594070875488
Alaska,Model 20,2010,biomass_pred,3663.6321652736483,2516.546488892465,5333.579451709159
Alaska,Model 20,2011,biomass_pred,2597.7118274679383,1205.436781754094,5598.059426017591
Alaska,Model 20,2012,biomass_pred,1841.917101430072,1095.5031272111019,3096.8954120445837
Alaska,Model 20,2013,biomass_pred,2290.987122432132,1015.0398742750341,5170.853015896102
Alaska,Model 20,2014,biomass_pred,2849.543006617838,1536.8847313448505,5283.347007722113
Alaska,Model 20,2015,biomass_pred,2479.9370028754665,1060.127550037838,5801.271307411494
Alaska,Model 20,2016,biomass_pred,2158.271527731942,1112.5381921175642,4186.94479022985
Alaska,Model 20,2017,biomass_pred,2371.315394695783,1066.623640485344,5271.903310302154
Alaska,Model 20,2018,biomass_pred,2605.3889090731723,1784.1985645864925,3804.538072305139
Alaska,Model 20,2019,biomass_pred,2202.457327163878,882.3510181281,5497.606030158861
Alaska,Model 20,2020,biomass_pred,1861.8403805608637,642.0867701061496,5398.72454016449
Alaska,Model 20,2021,biomass_pred,1573.9009150977727,569.5488138198697,4349.344657452057
Alaska,Model 20,2022,biomass_pred,1330.492192783671,639.7015745721773,2767.2426416054873
Alaska,Model 20,2023,biomass_pred,1330.492192783671,392.49534661870695,4510.14130564454
Alaska,Model 20,2024,biomass_pred,1330.492192783671,278.6248302063072,6353.380184198055
Aleutian,Model 20,2000,biomass_pred,3470.889229769463,2455.844336886076,4905.470539963022
Aleutian,Model 20,2001,biomass_pred,4075.0945340664753,1959.9381511396757,8472.918113218055
Aleutian,Model 20,2002,biomass_pred,4784.478663031681,3473.484602805422,6590.279991025987
Aleutian,Model 20,2003,biomass_pred,6407.382564984262,2914.9776038798955,14084.002319407135
Aleutian,Model 20,2004,biomass_pred,8580.77843491732,4463.712906675177,16495.182393794603
Aleutian,Model 20,2005,biomass_pred,7698.208955032696,3451.130834116679,17171.884800627642
Aleutian,Model 20,2006,biomass_pred,6906.415491884988,4580.062663093536,10414.393525858806
Aleutian,Model 20,2007,biomass_pred,7259.174888820032,2932.1566767349364,17971.624942345803
Aleutian,Model 20,2008,biomass_pred,7629.952198559785,2758.00653095051,21108.06116628155
Aleutian,Model 20,2009,biomass_pred,8019.667723113674,3261.1078507833317,19721.847093680914
Aleutian,Model 20,2010,biomass_pred,8429.288770811874,5763.645960937062,12327.771286316703
Aleutian,Model 20,2011,biomass_pred,7246.4319324576645,3467.49334822838,15143.727897436647
Aleutian,Model 20,2012,biomass_pred,6229.561850291741,4504.360306739732,8615.527667390177
Aleutian,Model 20,2013,biomass_pred,6605.59002062151,3139.846597719499,13896.799783857638
Aleutian,Model 20,2014,biomass_pred,7004.315964611706,4579.682602591939,10712.629321592709
Aleutian,Model 20,2015,biomass_pred,5304.411485955197,2500.2100705092143,11253.766851120183
Aleutian,Model 20,2016,biomass_pred,4017.063386987458,2730.0627065268027,5910.779344553751
Aleutian,Model 20,2017,biomass_pred,4785.266836736997,2222.445276595155,10303.416214529441
Aleutian,Model 20,2018,biomass_pred,5700.377736868996,3419.227237955586,9503.406495562602
Aleutian,Model 20,2019,biomass_pred,4181.277820033288,1636.8253862745978,10681.093020003613
Aleutian,Model 20,2020,biomass_pred,3067.0045066004864,1086.6015392919414,8656.822490457025
Aleutian,Model 20,2021,biomass_pred,2249.675110904926,893.5100476707363,5664.220696587077
Aleutian,Model 20,2022,biomass_pred,1650.1567225392914,1046.5540715509833,2601.8886964016397
Aleutian,Model 20,2023,biomass_pred,1650.1567225392914,561.6871714000891,4847.924872761632
Aleutian,Model 20,2024,biomass_pred,1650.1567225392914,385.35824162668,7066.1968910984615
Bering,Model 20,2000,biomass_pred,16.46114807372204,4.499515508714426,60.22190508738187
Bering,Model 20,2001,biomass_pred,33.840315643819665,10.213176071910137,112.12642911571474
Bering,Model 20,2002,biomass_pred,69.567867183058,25.159948793049832,192.35683602569614
Bering,Model 20,2003,biomass_pred,89.03484744920715,30.758476358767098,257.7242112983952
Bering,Model 20,2004,biomass_pred,113.94921795495429,45.96651661379599,282.47570686373575
Bering,Model 20,2005,biomass_pred,126.46503887055079,47.0739252367971,339.7508488208261
Bering,Model 20,2006,biomass_pred,140.35555788414746,62.31244686346029,316.14362170910135
Bering,Model 20,2007,biomass_pred,119.15427373367721,40.935318549451914,346.8335279191364
Bering,Model 20,2008,biomass_pred,101.15553073230777,32.74498616283525,312.4887989523244
Bering,Model 20,2009,biomass_pred,85.87557187084612,30.801557491535572,239.42340727969486
Bering,Model 20,2010,biomass_pred,72.90371362551207,36.492077997571805,145.64671983722968
Bering,Model 20,2011,biomass_pred,88.42152052185621,39.88512328567854,196.02209163044915
Bering,Model 20,2012,biomass_pred,107.2423461383325,78.09730074870147,147.26399881938485
Bering,Model 20,2013,biomass_pred,112.02022623009556,51.83583930342761,242.08214342180085
Bering,Model 20,2014,biomass_pred,117.01097128605682,65.79304812468864,208.1005180875439
Bering,Model 20,2015,biomass_pred,88.77355677576693,37.55580184618512,209.8409299020421
Bering,Model 20,2016,biomass_pred,67.35047402823659,32.09129959970943,141.34941271961594
Bering,Model 20,2017,biomass_pred,67.77167508997417,28.032340941083305,163.8464641306381
Bering,Model 20,2018,biomass_pred,68.19551028810005,35.39742842609213,131.3832057931726
Bering,Model 20,2019,biomass_pred,60.15538820068115,21.477213815710037,168.4888347541469
Bering,Model 20,2020,biomass_pred,53.06318134855422,16.48524847758374,170.80126020898487
Bering,Model 20,2021,biomass_pred,46.807132312674014,14.661511662075455,149.43258825100114
Bering,Model 20,2022,biomass_pred,41.28865966299374,15.163421256951057,112.42538130931702
Bering,Model 20,2023,biomass_pred,41.28865966299374,10.1909655981363,167.28085286425528
Bering,Model 20,2024,biomass_pred,41.28865966299374,7.495347139786126,227.4415560711668
Big,Model 20,2000,biomass_pred,713.9993123578901,295.68885091441115,1724.092797110916
Big,Model 20,2001,biomass_pred,504.90388995883154,190.28592094975576,1339.7099313662443
Big,Model 20,2002,biomass_pred,357.0422739675942,156.7159904714986,813.4408302331778
Big,Model 20,2003,biomass_pred,386.68515540308357,150.97772142937382,990.3806203556576
Big,Model 20,2004,biomass_pred,418.7890911278424,195.5024413094545,897.0952059369642
Big,Model 20,2005,biomass_pred,450.32506397638133,170.39287730128595,1190.1475370168039
Big,Model 20,2006,biomass_pred,484.23578250137905,193.91354863683134,1209.2207826791619
Big,Model 20,2007,biomass_pred,474.00288359707866,150.0269434810156,1497.589222610381
Big,Model 20,2008,biomass_pred,463.9862269114857,135.94161384028072,1583.644718360452
Big,Model 20,2009,biomass_pred,454.18124280137505,139.79190397773593,1475.6262375928084
Big,Model 20,2010,biomass_pred,444.5834581894897,166.24131683069734,1188.9610541103932
Big,Model 20,2011,biomass_pred,367.39780756212417,129.14699455938836,1045.1745273823187
Big,Model 20,2012,biomass_pred,303.6126210164215,123.09603268118993,748.851296281843
Big,Model 20,2013,biomass_pred,342.40557525291865,109.17185269793299,1073.9176359741482
Big,Model 20,2014,biomass_pred,386.15515248274477,113.25944714991782,1316.5859938517283
