strata,model_name,year,variable,pred,pred_lci,pred_uci,obs,obs_lci,obs_uci
EBSskates,M20_EBSshelf,1999,biomass_pred,19631.792374734887,13387.077548011657,28789.500207380384,15867.099999999999,7103.305242726491,35443.3399392202
EBSskates,M20_EBSshelf,2000,biomass_pred,20332.75259793146,15397.351883794636,26850.125354594547,24597.92,16280.895002185205,37163.6613494031
EBSskates,M20_EBSshelf,2001,biomass_pred,18695.76749905519,15092.250161982418,23159.682527606354,17255.61,12890.664504002012,23098.58241828103
EBSskates,M20_EBSshelf,2002,biomass_pred,19004.51697027678,15466.788537941893,23351.43228909742,18538.01,13994.978006337731,24555.795272023424
EBSskates,M20_EBSshelf,2003,biomass_pred,19975.92422869513,15437.511467046797,25848.566956038365,32081.32,20017.320040196642,51416.02826330639
EBSskates,M20_EBSshelf,2004,biomass_pred,16738.886020231777,13698.069079328568,20454.730048130612,14553.02,11398.090724351194,18581.216472327727
EBSskates,M20_EBSshelf,2005,biomass_pred,18000.335263576486,14097.447427122888,22983.740232133776,20614.760000000002,12675.092561206744,33527.82851923736
EBSskates,M20_EBSshelf,2006,biomass_pred,18211.014100615736,14676.59252635221,22596.596177031894,18392.47,13679.555236852806,24729.090006491082
EBSskates,M20_EBSshelf,2007,biomass_pred,18203.6393409035,14268.390909716212,23224.23652046413,17108.4,11291.127453927214,25922.774475297916
EBSskates,M20_EBSshelf,2008,biomass_pred,18905.689678527808,14784.46726757626,24175.717376348086,19495.010000000002,12764.131815058627,29775.265596342866
EBSskates,M20_EBSshelf,2009,biomass_pred,19280.41548018564,15402.975111563643,24133.936359444342,20031.75,14381.750517568591,27901.402376039845
EBSskates,M20_EBSshelf,2010,biomass_pred,18947.25251108684,15179.348924562992,23650.446373095812,18782.43,13670.468781451344,25805.967764877638
EBSskates,M20_EBSshelf,2011,biomass_pred,18792.208307549507,14568.546204728515,24240.379795734985,17691.3,10992.966390420188,28471.122768350142
EBSskates,M20_EBSshelf,2012,biomass_pred,19174.981792307546,15174.365173366172,24230.33336384131,16525.2,12300.514172947356,22200.87967059074
EBSskates,M20_EBSshelf,2013,biomass_pred,23461.46866823122,18325.201223936365,30037.351587245343,26689.59,17034.422472614242,41817.33871596174
EBSskates,M20_EBSshelf,2014,biomass_pred,26817.734882111516,21197.434226180758,33928.2054862543,24291.48,17155.244854922123,34396.24473917657
EBSskates,M20_EBSshelf,2015,biomass_pred,33441.936316844345,25863.27617129479,43241.354931712965,39161.54,25245.086696795774,60749.49290494043
EBSskates,M20_EBSshelf,2016,biomass_pred,38221.07713934575,29659.98405862032,49253.254310743265,36652.06,25140.431000557033,53434.78408201644
EBSskates,M20_EBSshelf,2017,biomass_pred,45076.24595819292,33164.31619716715,61266.69211581883,65643.73,35142.84042713062,122616.70473813578
EBSskates,M20_EBSshelf,2018,biomass_pred,47982.93064539834,36227.768661534756,63552.399675270804,63921.33,42067.13214889084,97128.95127976131
EBSskates,M20_EBSshelf,2019,biomass_pred,42903.133442831335,33947.144272696285,54221.90580825533,37539.05,27378.375177420352,51470.559000327
EBSskates,M20_EBSshelf,2020,biomass_pred,44245.055153127505,32899.798927790405,59502.640420385425,NA,NA,NA
EBSskates,M20_EBSshelf,2021,biomass_pred,45628.94941256084,36025.70185946901,57792.101667182425,43811.549999999996,31567.983654521166,60803.75403158183
EBSskates,M20_EBSshelf,2022,biomass_pred,48989.81929367632,38424.77381165475,62459.766352589635,45362.61,32408.093764082547,63495.44656935958
EBSskates,M20_EBSshelf,2023,biomass_pred,56547.68476703378,39861.97204177774,80217.82387385413,80943.78,48323.74839591625,135583.34645335746
EBSskates,M20_EBSshelf,2024,biomass_pred,56547.68476703378,35052.94842032054,91223.15801138488,NA,NA,NA
AIskates,M20_AI,2000,biomass_pred,30158.596931688448,25406.74098407368,35799.19870313935,29218.8,24410.56925357574,34974.123895735975
AIskates,M20_AI,2001,biomass_pred,32771.17760711435,25601.348759283923,41948.96494926197,NA,NA,NA
AIskates,M20_AI,2002,biomass_pred,35610.0810720609,29705.797067542055,42687.89257112078,34465.1,27804.219196000777,42721.68585769363
AIskates,M20_AI,2003,biomass_pred,41092.3423210575,31596.700601708464,53441.67477219662,NA,NA,NA
AIskates,M20_AI,2004,biomass_pred,47418.61143236223,37272.75334880423,60326.23050761262,53224.8,38651.32596200269,73293.19925078249
AIskates,M20_AI,2005,biomass_pred,49723.520872774294,37813.83111619702,65384.23785698326,NA,NA,NA
AIskates,M20_AI,2006,biomass_pred,52140.466650144015,42529.81134473282,63922.88553688761,54210,43154.21424288424,68098.19507916471
AIskates,M20_AI,2007,biomass_pred,51312.291733324346,37889.270203817214,69490.6834774697,NA,NA,NA
AIskates,M20_AI,2008,biomass_pred,50497.27116162114,36335.59522115943,70178.41263503947,NA,NA,NA
AIskates,M20_AI,2009,biomass_pred,49695.195997535804,36780.38742515719,67144.82032737706,NA,NA,NA
AIskates,M20_AI,2010,biomass_pred,48905.86062223604,40171.51457625235,59539.28370466508,51941.200000000004,41609.8081681425,64837.79609216209
AIskates,M20_AI,2011,biomass_pred,43381.19111071424,33682.68230180467,55872.264724103676,NA,NA,NA
AIskates,M20_AI,2012,biomass_pred,38480.61803310043,31677.80622934336,46744.33429792679,35404.9,28078.38182616232,44643.133346168586
AIskates,M20_AI,2013,biomass_pred,38929.55582684945,30250.95712443547,50097.92948506814,NA,NA,NA
AIskates,M20_AI,2014,biomass_pred,39383.73119610948,32455.5864236108,47790.79517105963,42904.8,34195.324351369825,53832.56038529899
AIskates,M20_AI,2015,biomass_pred,34599.60951650099,26748.471242918728,44755.192467729146,NA,NA,NA
AIskates,M20_AI,2016,biomass_pred,30396.63694466319,24509.48294097619,37697.87962360266,27767.5,21268.34571402869,36252.65766398668
AIskates,M20_AI,2017,biomass_pred,29748.02528116961,22727.214681732377,38937.6798046619,NA,NA,NA
AIskates,M20_AI,2018,biomass_pred,29113.253868845448,23330.789864879716,36328.88366577443,29489.2,22602.492957733226,38474.203631704695
AIskates,M20_AI,2019,biomass_pred,28056.955065628135,20227.312369706444,38917.31700023677,NA,NA,NA
AIskates,M20_AI,2020,biomass_pred,27038.981321049225,18566.07403628846,39378.62735282964,NA,NA,NA
AIskates,M20_AI,2021,biomass_pred,26057.94210989454,17648.535623684646,38474.37325572571,NA,NA,NA
AIskates,M20_AI,2022,biomass_pred,25112.49735854565,17306.65246722996,36439.02394048015,23011.2,14703.80530990108,36012.1284442906
AIskates,M20_AI,2023,biomass_pred,25112.49735854565,15653.410421040291,40287.54799243623,NA,NA,NA
AIskates,M20_AI,2024,biomass_pred,25112.49735854565,14413.358785653336,43753.682466482525,NA,NA,NA
Slopeskates,M20_EBSslope,2002,biomass_pred,38229.847681365725,24616.30336420448,59372.08491936603,69232.2300949059,27593.588868108935,173703.4536110519
Slopeskates,M20_EBSslope,2003,biomass_pred,36034.81398882294,26063.833847468875,49820.29224128018,NA,NA,NA
Slopeskates,M20_EBSslope,2004,biomass_pred,33965.812001966144,29064.357038920574,39693.85537784303,33156.390093467264,28188.985750403743,38999.14008131453
Slopeskates,M20_EBSslope,2005,biomass_pred,34583.19583345773,26110.957347635027,45804.4267826746,NA,NA,NA
Slopeskates,M20_EBSslope,2006,biomass_pred,35211.8016194065,25793.3980378276,48069.31492570662,NA,NA,NA
Slopeskates,M20_EBSslope,2007,biomass_pred,35851.83333707167,27113.89562177539,47405.72773308478,NA,NA,NA
Slopeskates,M20_EBSslope,2008,biomass_pred,36503.49867133059,31427.106378641478,42399.87605583163,36384.290318356434,30926.795541134212,42804.841523581206
Slopeskates,M20_EBSslope,2009,biomass_pred,37556.88793752975,29267.00367019577,48194.88347516008,NA,NA,NA
Slopeskates,M20_EBSslope,2010,biomass_pred,38640.67508301534,31249.405468783953,47780.16568547745,35177.45224544934,27811.089316323938,44494.95423951392
Slopeskates,M20_EBSslope,2011,biomass_pred,45881.1043383233,35771.505057353286,58847.83801880832,NA,NA,NA
Slopeskates,M20_EBSslope,2012,biomass_pred,54478.23390201067,43969.85671145968,67498.01320841417,59686.98085340295,48916.14466314655,72829.44532786348
Slopeskates,M20_EBSslope,2013,biomass_pred,53265.09781569486,39281.285482023,72227.0315367853,NA,NA,NA
Slopeskates,M20_EBSslope,2014,biomass_pred,52078.97617273572,37504.749716901104,72316.70067586514,NA,NA,NA
Slopeskates,M20_EBSslope,2015,biomass_pred,50919.2674081827,37657.258328291144,68851.8471202169,NA,NA,NA
Slopeskates,M20_EBSslope,2016,biomass_pred,49785.38335289662,40510.00701153485,61184.49683035409,49151.60864656392,39486.93931078806,61181.76477367402
Slopeskates,M20_EBSslope,2017,biomass_pred,49785.38335289662,34871.942517474294,71076.75158482669,NA,NA,NA
Slopeskates,M20_EBSslope,2018,biomass_pred,49785.38335289662,31448.521958540394,78814.01863217846,NA,NA,NA
Slopeskates,M20_EBSslope,2019,biomass_pred,49785.38335289662,28914.04771822148,85722.49792729245,NA,NA,NA
Slopeskates,M20_EBSslope,2020,biomass_pred,49785.38335289662,26887.419881426224,92183.7947458498,NA,NA,NA
Slopeskates,M20_EBSslope,2021,biomass_pred,49785.38335289662,25196.37267408442,98370.68325887278,NA,NA,NA
Slopeskates,M20_EBSslope,2022,biomass_pred,49785.38335289662,23746.131596272236,104378.44941379732,NA,NA,NA
Slopeskates,M20_EBSslope,2023,biomass_pred,49785.38335289662,22478.20966333756,110266.09470760032,NA,NA,NA
Slopeskates,M20_EBSslope,2024,biomass_pred,49785.38335289662,21353.651903449067,116073.0917035569,NA,NA,NA
