year,rec,recLL,recUL,recSD,CV
1948,24101.6,22415.13789322537,25914.947538001314,892.348,0.03702442991336675
1949,24101.6,22415.13789322537,25914.947538001314,892.348,0.03702442991336675
1950,20752.3,9957.027034183731,43251.66074285995,8056.74,0.38823359338482966
1951,20547.3,9892.17215973244,42679.35600722693,7937.67,0.38631207019900426
1952,20321.8,9820.152316855592,42053.88490066047,7807.69,0.3842026788965544
1953,20075,9740.549446782432,41374.01357098227,7666.58,0.38189688667496885
1954,19806.5,9652.999842070592,40639.9511725104,7514.44,0.3793926236336556
1955,19516.6,9557.444237424736,39853.50749612466,7351.68,0.3766885625570028
1956,19206.3,9453.977828528552,39018.70370129839,7179.19,0.373793494842838
1957,18877.6,9343.054652463905,38142.10609011281,6998.38,0.3707240327160233
1958,18534,9225.760419216904,37233.69569455581,6811.33,0.36750458616596526
1959,18178.8,9103.10809037006,36302.85020888571,6620,0.3641604506348054
1960,17816.9,8976.708933653383,35362.84043029636,6427.14,0.3607327874097065
1961,17452,8847.687837169764,34423.943249949465,6234.91,0.35726048590419435
1962,17087.9,8717.496051943326,33495.43546336418,6045.18,0.353769626460829
1963,16728.4,8587.523801283849,32586.73548225436,5859.87,0.35029470840008603
1964,16379.4,8460.310650839565,31710.98029755865,5681.54,0.346871069758355
1965,16048.5,8338.911314107105,30885.848589646277,5513.71,0.3435654422531701
1966,15744.4,8226.659171374442,30132.05314528488,5360.56,0.3404740733213079
1967,15468,8123.581932514508,29452.4048612558,5222.77,0.3376499870700802
1968,15207.2,8024.755554515552,28818.190195197927,5094.66,0.335016308064601
1969,14965.7,7931.848864801757,28237.070613371747,4977.7,0.33260722852923685
1970,14730.2,7840.197787267425,27675.168143382372,4864.93,0.3302691070046571
1971,14519.9,7757.980198108859,27175.565111830656,4764.77,0.32815446387371816
1972,14364.4,7697.348481486087,26806.112241934512,4690.64,0.32654618362061766
1973,14280.8,7666.167646484306,26602.763994279056,4649.37,0.3255678953560025
1974,14347.3,7698.412903355281,26738.630400076934,4674.56,0.3258146132024841
1975,14648,7831.059468792872,27399.090104608058,4802.03,0.3278283724740579
1976,15329.1,8123.634746959979,28925.636630565463,5099.42,0.3326627134013086
1977,16573.9,8643.859533592004,31779.109799560774,5660.2,0.34151286058199937
1978,18728.9,9504.008007537883,36907.765116758455,6681.23,0.35673371100278173
1979,22400.5,10846.185363969696,46263.49111798211,8581.16,0.38307894913059976
1980,28538.1,12754.530120298909,63853.638191958235,12239.2,0.4288722795140532
1981,38283.6,15169.868454632278,96614.81464675821,19138.6,0.4999164132944655
1982,43197,16362.006381917994,114043.52042437403,22778.3,0.5273120818575364
1983,33424.2,13792.215928026893,81000.55505727728,15898.8,0.4756673308560863
1984,26493.5,12076.379476521315,58122.18335922892,11061.1,0.41750240625058976
1985,22730.6,10954.652919686303,47165.362531156796,8767.75,0.38572452992881845
1986,20909.9,10378.485296306979,42127.91226534565,7718.28,0.3691208470628745
1987,20336.6,10234.80961161881,40408.89037061292,7348.74,0.3613553888063885
1988,20363.5,10302.578889321734,40249.35277902046,7298.4,0.3584059714685589
1989,20732.1,10489.091781364737,40977.80621708663,7430.48,0.3584045996305246
1990,21546.6,10962.445908413567,42349.67045116165,7655.01,0.35527693464398097
1991,21369.6,11040.028329759758,41364.00655141599,7410.16,0.346761755016472
1992,18648.5,9766.615792338082,35607.68229695523,6325.49,0.33919564576239375
1993,19156.1,10103.46533036513,36319.83237544683,6422.95,0.3352952845307761
1994,24472.5,12813.888009441842,46738.605473116426,8304.01,0.33932005312084995
1995,29863.2,16263.631844697138,54834.659487867226,9486.27,0.3176575182833722
1996,25870,13546.210260577955,49405.47113369896,8777.59,0.33929609586393505
1997,29316.1,15868.755625862297,54158.86030844964,9410.42,0.32099835926333997
1998,30460.8,16337.197804590181,56794.338156284255,9932.09,0.32606136411387754
1999,31016.5,17225.080875226708,55850.14544887229,9521.06,0.3069675817709928
2000,34852.2,20997.21696039309,57849.37342559419,9163.33,0.26291970090840755
2001,29638.6,17817.67829010598,49301.968284374925,7826.92,0.2640786002037883
2002,27776.1,16204.106763135882,47612.11108317174,7783.96,0.2802394864649825
2003,34140.1,19855.416329239582,58701.68666741005,9624.28,0.2819054425733961
2004,40459.5,23273.89168606835,70335.08458019876,11645.9,0.28784092734710015
2005,39030.5,21165.5644018226,71974.45347211341,12489.8,0.32000102483954856
2006,44352.7,25405.47183378641,77430.64211363702,12868.4,0.29013791719557097
2007,34182.4,17289.927020653053,67579.02843454953,12255.7,0.35853831211383635
2008,41102.6,22789.178402679176,74132.71759553143,12653.8,0.3078588702417852
2009,38843,21277.86105932755,70908.37959666984,12214.6,0.3144607780037587
2010,33876,18026.748319463994,63660.032062516926,11192.2,0.33038729484000473
2011,29036,15524.899902513382,54305.61879909514,9516.99,0.3277651880424301
2012,28670.5,16185.907926450634,50784.76746470994,8544.38,0.2980199159414729
2013,23675.9,13236.540284277511,42348.54643065786,7181.53,0.30332658948551056
2014,20464.7,11869.137567219384,35285.120230358414,5799.68,0.2833992191432076
2015,16829.5,9680.636928765427,29257.58628633128,4844.55,0.28786060191924895
2016,18774.4,10964.136817499064,32148.27589504681,5250.72,0.279674450315323
2017,20566.7,12284.30033037511,34433.31223709039,5502.62,0.26754997155596183
2018,18023.5,10336.800388624677,31426.21894948111,5217.16,0.2894643104835354
2019,24234.7,13373.577864046338,43916.49639764375,7523.34,0.3104366878896788
2020,40941.6,24673.788479713916,67935.03202550892,10757.3,0.26274742560134434
2021,28734.2,14684.027404312612,56228.05153561007,10137.9,0.352816504374578
2022,34772.4,17227.87968658156,70183.90096500133,12870.5,0.3701355097721181
2023,23782.4,11143.601971583135,50755.810482312736,9553.62,0.4017096676533908
2024,24101.6,11293.156219567441,51437.09263080134,9681.86,0.4017102598997577
2025,24101.6,11293.156219567441,51437.09263080134,9681.86,0.4017102598997577
2026,24101.6,11293.156219567441,51437.09263080134,9681.86,0.4017102598997577
2027,24101.6,11293.156219567441,51437.09263080134,9681.86,0.4017102598997577
2028,24101.6,11293.156219567441,51437.09263080134,9681.86,0.4017102598997577
