
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
178425 71370 62448.8 29513.9 27165.6 133165 
CV Recruit
0.294008 
Alternative 1 Alternative  Stock: EBS_SKATE
Catch EBS_SKATE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 25899.2 27822.4 14794 14794 14794 14794 1.09139e-11 
2021  0 25899.2 27822.4 17263 17263 17263 17263 1.81899e-11 
2022  0 25899.2 27822.4 17263 17263 17263 17263 6.77328e-05 
2023  0 25899.2 27822.4 30765.4 30783.2 30786.1 30809.9 14.6063 
2024  0 25899.2 27822.4 28918.2 28985.4 28994.9 29082.9 53.9078 
2025  0 25899.2 27822.4 27419.1 27605.7 27632 27877.9 154.272 
2026  0 25899.2 27822.4 26188.5 26605.9 26659.3 27208.7 337.14 
2027  0 25899.2 27822.4 25212.9 25914.8 26023 27002.5 582.87 
2028  0 25899.2 27822.4 24408.2 25561.8 25648.4 26953.8 840.962 
2029  0 25899.2 27822.4 23892.3 25395.8 25456.9 27031.1 1072.35 
2030  0 25899.2 27822.4 23534.1 25263.6 25389.6 27093.6 1271.78 
2031  0 25899.2 27822.4 22804.7 25080.6 25178.9 27696.5 1618.31 
2032  0 25899.2 27822.4 22187.5 25017.2 24977.3 27783.7 1909.54 
2033  0 25899.2 27822.4 21977.2 24925.9 24962.2 28477.4 2108.96 

Spawning_Biomass EBS_SKATE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 178425 71370 62448.8 124449 124449 124449 124449 1.74623e-10 
2021 178425 71370 62448.8 124142 124142 124142 124142 4.36557e-11 
2022 178425 71370 62448.8 121575 121575 121575 121576 0.198256 
2023 178425 71370 62448.8 115692 115692 115692 115693 0.452277 
2024 178425 71370 62448.8 106776 106776 106776 106777 0.415303 
2025 178425 71370 62448.8 98191.6 98192.1 98192.2 98192.8 0.376999 
2026 178425 71370 62448.8 90587.9 90588.3 90588.4 90588.9 0.338878 
2027 178425 71370 62448.8 84277 84298.3 84301.5 84330.5 17.5455 
2028 178425 71370 62448.8 79202.2 79332.5 79354.5 79530.1 107.779 
2029 178425 71370 62448.8 75104.4 75578.7 75642 76260.7 379.079 
2030 178425 71370 62448.8 71780.9 72866.6 73027.7 74446.4 893.051 
2031 178425 71370 62448.8 69204.9 71047 71374.4 73945.1 1573.04 
2032 178425 71370 62448.8 67259.3 70198.2 70499.7 74046.1 2245.59 
2033 178425 71370 62448.8 66149.1 69922.3 70171.3 74387.4 2805.79 

Fishing_mortalityEBS_SKATE
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.079212 0.0925522 0.0332372 0.0332372 0.0332372 0.0332372 4.16334e-17 
2021  0 0.079212 0.0925522 0.0403861 0.0403861 0.0403861 0.0403861 9.02056e-17 
2022  0 0.079212 0.0925522 0.0421232 0.0421312 0.0421306 0.0421361 4.00978e-06 
