Alt Stock Year ABC OFL Catch SSB F Total_Biom SPR_Implied
6 EBS_SKATE 2018 31600.5 31600.5 31600.5 99214.2 0.0902253 435737 0.35
6 EBS_SKATE 2019 29685.3 29685.3 29685.3 92727.8 0.0902253 415084 0.35
1 EBS_SKATE 2020 25683.2 29792.2 25683.2 91685.4 0.0773503 418344 0.4
1 EBS_SKATE 2021 25138.2 29160.8 25138.2 85434.9 0.0773503 410558 0.4
1 EBS_SKATE 2022 24921.7 28909.8 24921.7 79734.3 0.0773503 406796 0.4
1 EBS_SKATE 2023 24914.8 28865.5 24914.8 75150.2 0.0773483 406005 0.400008
1 EBS_SKATE 2024 24116.9 27847.7 24116.9 72068.1 0.0744088 407065 0.41265
1 EBS_SKATE 2025 23824.5 27515.6 23824.5 70516.6 0.0727191 410161 0.420156
1 EBS_SKATE 2026 23975.2 27690.8 23975.2 70107 0.0722732 414232 0.422196
1 EBS_SKATE 2027 24369.9 28145.7 24369.9 70401.8 0.0725927 418404 0.420798
5 EBS_SKATE 2020 0 40118.7 0 135919 0 550447 1
5 EBS_SKATE 2021 0 40759.9 0 135456 0 559103 1
5 EBS_SKATE 2022 0 41654.9 0 134548 0 570008 1
5 EBS_SKATE 2023 0 42707.6 0 134042 0 582673 1
5 EBS_SKATE 2024 0 43836.6 0 134591 0 596285 1
3 EBS_SKATE 2014 20162.9 41425.7 26060 116996 0.0558978 547984 0.504705
5 EBS_SKATE 2025 0 44981.8 0 136427 0 610241 1
3 EBS_SKATE 2015 19413.8 39883.1 19413.8 117075 0.043 528391 0.584433
5 EBS_SKATE 2026 0 46096.6 0 139362 0 623964 1
3 EBS_SKATE 2016 18747.6 38513.3 18747.6 117522 0.043 513804 0.584433
5 EBS_SKATE 2027 0 47145.5 0 143001 0 637021 1
3 EBS_SKATE 2017 18017.3 37015.5 18017.3 117141 0.043 499558 0.584433
3 EBS_SKATE 2018 17340.3 35630 17340.3 115661 0.043 487038 0.584433
3 EBS_SKATE 2019 16821.2 34570.4 16821.2 112964 0.043 477461 0.584433
7 EBS_SKATE 2014 41425.7 41425.7 26060 116996 0.0558978 547984 0.504705
7 EBS_SKATE 2015 39883.1 39883.1 34388.9 115490 0.0773503 528391 0.4
7 EBS_SKATE 2016 37343.1 37343.1 32199 112195 0.0773503 498957 0.4
7 EBS_SKATE 2017 34849.1 34849.1 34849.1 107683 0.0902253 472048 0.35
7 EBS_SKATE 2018 32277.8 32277.8 32277.8 101669 0.0902253 444342 0.35
7 EBS_SKATE 2019 30266.4 30266.4 30266.4 94997.8 0.0902253 422481 0.35
2 EBS_SKATE 2020 25683.2 29792.2 25683.2 91685.4 0.0773503 418344 0.4
2 EBS_SKATE 2021 25138.2 29160.8 25138.2 85434.9 0.0773503 410558 0.4
2 EBS_SKATE 2022 24921.7 28909.8 24921.7 79734.3 0.0773503 406796 0.4
2 EBS_SKATE 2023 24914.8 28865.5 24914.8 75150.2 0.0773483 406005 0.400008
2 EBS_SKATE 2024 24116.9 27847.7 24116.9 72068.1 0.0744088 407065 0.41265
2 EBS_SKATE 2025 23824.5 27515.6 23824.5 70516.6 0.0727191 410161 0.420156
2 EBS_SKATE 2026 23975.2 27690.8 23975.2 70107 0.0722732 414232 0.422196
