hauljoin,specimen_id,species_code,length_mm,sex,weight_g,age,maturity,gonad_g,specimen_subsample_method,specimen_sample_type,age_determination_method,akfin_load_date,cruisejoin,hauljoin_1,haul,haul_type,performance,date_time_start,duration_hr,distance_fished_km,net_width_m,net_measured,net_height_m,stratum,latitude_dd_start,latitude_dd_end,longitude_dd_start,longitude_dd_end,station,depth_gear_m,depth_m,bottom_type,surface_temperature_c,gear_temperature_c,wire_length_m,gear,accessories,akfin_load_date_1,haul_year,yrmday,length_cm
-2816,5,471,740,1,NA,8,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,74
-2816,1,471,910,1,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,91
-2816,2,471,680,1,NA,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,68
-2816,4,471,820,1,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,82
-2816,6,471,860,2,NA,9,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,86
-2816,7,471,1020,2,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,102
-2816,8,471,970,2,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,97
-2816,9,471,750,2,NA,7,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,75
-2816,10,471,930,2,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,93
-2816,3,471,790,1,NA,9,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2816,20,3,0,2007-06-13T08:00:00Z,0.514,2.772,17.052,1,1.744,10,56.33765,56.33429,-160.9727,-161.01711,E-12,52,54,NA,4.1,3,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,79
-2819,11,471,540,2,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2819,23,3,0,2007-06-13T08:00:00Z,0.519,2.836,17.56,1,1.787,31,56.98329,57.00848,-161.5771,-161.5844,G-11,65,67,NA,4.2,1.2,229,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,54
-2819,12,471,590,2,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2819,23,3,0,2007-06-13T08:00:00Z,0.519,2.836,17.56,1,1.787,31,56.98329,57.00848,-161.5771,-161.5844,G-11,65,67,NA,4.2,1.2,229,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,59
-2819,13,471,630,2,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2819,23,3,0,2007-06-13T08:00:00Z,0.519,2.836,17.56,1,1.787,31,56.98329,57.00848,-161.5771,-161.5844,G-11,65,67,NA,4.2,1.2,229,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,63
-2824,14,471,810,2,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2824,28,3,0,2007-06-14T08:00:00Z,0.536,3.022,15.63,1,2.001,10,58.63049,58.64012,-162.69679,-162.74541,L-09,24,26,NA,4.4,4.4,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-14,81
-2824,15,471,850,2,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2824,28,3,0,2007-06-14T08:00:00Z,0.536,3.022,15.63,1,2.001,10,58.63049,58.64012,-162.69679,-162.74541,L-09,24,26,NA,4.4,4.4,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-14,85
-2824,16,471,1050,1,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2824,28,3,0,2007-06-14T08:00:00Z,0.536,3.022,15.63,1,2.001,10,58.63049,58.64012,-162.69679,-162.74541,L-09,24,26,NA,4.4,4.4,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-14,105
-2834,17,471,870,1,NA,11,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,87
-2834,18,471,520,1,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,52
-2834,19,471,560,1,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,56
-2834,20,471,740,2,NA,8,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,74
-2834,21,471,460,1,NA,4,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,46
-2834,22,471,440,2,NA,3,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,44
-2834,23,471,970,1,NA,11,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,97
-2834,24,471,410,1,NA,2,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,41
-2834,25,471,600,1,NA,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,60
-2834,26,471,370,1,NA,2,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,37
-2834,27,471,1010,1,NA,13,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,101
-2834,28,471,680,2,NA,7,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2834,38,3,0,2007-06-17T08:00:00Z,0.53,2.892,17.841,1,2.368,31,55.67895,55.70104,-163.9861,-164.01041,C-07,92,94,NA,6,2.7,320,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,68
-2836,29,471,480,2,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2836,40,3,0,2007-06-17T08:00:00Z,0.506,2.745,18.26,1,2.255,31,56.3319,56.3566,-163.9767,-163.97771,E-07,82,84,NA,6,1,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,48
-2836,30,471,290,1,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2836,40,3,0,2007-06-17T08:00:00Z,0.506,2.745,18.26,1,2.255,31,56.3319,56.3566,-163.9767,-163.97771,E-07,82,84,NA,6,1,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,29
-2836,31,471,300,1,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2836,40,3,0,2007-06-17T08:00:00Z,0.506,2.745,18.26,1,2.255,31,56.3319,56.3566,-163.9767,-163.97771,E-07,82,84,NA,6,1,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,30
-2836,32,471,340,2,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-2836,40,3,0,2007-06-17T08:00:00Z,0.506,2.745,18.26,1,2.255,31,56.3319,56.3566,-163.9767,-163.97771,E-07,82,84,NA,6,1,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-17,34
-3253,36,471,510,1,NA,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,51
-3253,37,471,950,1,NA,9,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,95
-3253,38,471,720,1,NA,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,72
-3253,39,471,830,2,NA,9,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,83
-3253,40,471,770,2,NA,7,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,77
-3253,41,471,660,2,NA,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,66
-3253,42,471,510,2,NA,4,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,51
-3253,33,471,650,1,NA,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,65
-3253,34,471,610,1,NA,7,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,61
-3253,35,471,560,1,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3253,63,3,0,2007-06-24T08:00:00Z,0.51,2.816,17.013,1,2.299,31,54.66053,54.68583,-165.15109,-165.14841,Z-05,79,81,NA,5.1,4.3,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,56
-3254,43,471,1060,2,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3254,64,3,0,2007-06-24T08:00:00Z,0.521,2.862,17.67,1,2.096,50,54.99203,55.01775,-165.1617,-165.16319,A-05,108,110,NA,5.9,3.8,366,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,106
-3254,44,471,300,2,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3254,64,3,0,2007-06-24T08:00:00Z,0.521,2.862,17.67,1,2.096,50,54.99203,55.01775,-165.1617,-165.16319,A-05,108,110,NA,5.9,3.8,366,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,30
-3254,45,471,1010,1,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3254,64,3,0,2007-06-24T08:00:00Z,0.521,2.862,17.67,1,2.096,50,54.99203,55.01775,-165.1617,-165.16319,A-05,108,110,NA,5.9,3.8,366,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,101
-3254,46,471,290,1,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3254,64,3,0,2007-06-24T08:00:00Z,0.521,2.862,17.67,1,2.096,50,54.99203,55.01775,-165.1617,-165.16319,A-05,108,110,NA,5.9,3.8,366,44,15,2025-07-15T08:00:00Z,2007,2007-06-24,29
-3260,47,471,380,1,NA,2,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3260,70,3,0,2007-06-25T08:00:00Z,0.518,2.807,17.477,1,2.053,31,56.65368,56.6789,-166.4404,-166.4382,F-03,81,83,NA,5.3,0.9,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-25,38
-3260,48,471,400,1,NA,3,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3260,70,3,0,2007-06-25T08:00:00Z,0.518,2.807,17.477,1,2.053,31,56.65368,56.6789,-166.4404,-166.4382,F-03,81,83,NA,5.3,0.9,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-25,40
-3260,49,471,330,1,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3260,70,3,0,2007-06-25T08:00:00Z,0.518,2.807,17.477,1,2.053,31,56.65368,56.6789,-166.4404,-166.4382,F-03,81,83,NA,5.3,0.9,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-25,33
-3260,50,471,280,2,NA,1,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3260,70,3,0,2007-06-25T08:00:00Z,0.518,2.807,17.477,1,2.053,31,56.65368,56.6789,-166.4404,-166.4382,F-03,81,83,NA,5.3,0.9,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-25,28
-3260,51,471,360,2,NA,2,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3260,70,3,0,2007-06-25T08:00:00Z,0.518,2.807,17.477,1,2.053,31,56.65368,56.6789,-166.4404,-166.4382,F-03,81,83,NA,5.3,0.9,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-25,36
-3260,52,471,550,2,NA,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3260,70,3,0,2007-06-25T08:00:00Z,0.518,2.807,17.477,1,2.053,31,56.65368,56.6789,-166.4404,-166.4382,F-03,81,83,NA,5.3,0.9,274,44,15,2025-07-15T08:00:00Z,2007,2007-06-25,55
-3277,53,471,480,2,NA,4,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3277,87,3,0,2007-06-29T08:00:00Z,0.518,2.831,16.685,1,2.756,20,59.98564,60.00888,-169.32449,-169.304,P-19,42,45,NA,4.1,0.2,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,48
-3277,54,471,910,2,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3277,87,3,0,2007-06-29T08:00:00Z,0.518,2.831,16.685,1,2.756,20,59.98564,60.00888,-169.32449,-169.304,P-19,42,45,NA,4.1,0.2,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,91
-3277,55,471,620,2,NA,7,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3277,87,3,0,2007-06-29T08:00:00Z,0.518,2.831,16.685,1,2.756,20,59.98564,60.00888,-169.32449,-169.304,P-19,42,45,NA,4.1,0.2,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,62
-3281,56,471,950,2,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3281,91,3,0,2007-06-29T08:00:00Z,0.501,2.727,16.747,1,2.56,41,59.68771,59.66417,-169.92329,-169.9097,O-20,55,58,NA,4.8,-1.4,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,95
-3281,57,471,480,1,NA,4,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3281,91,3,0,2007-06-29T08:00:00Z,0.501,2.727,16.747,1,2.56,41,59.68771,59.66417,-169.92329,-169.9097,O-20,55,58,NA,4.8,-1.4,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,48
-3281,58,471,780,1,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3281,91,3,0,2007-06-29T08:00:00Z,0.501,2.727,16.747,1,2.56,41,59.68771,59.66417,-169.92329,-169.9097,O-20,55,58,NA,4.8,-1.4,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,78
-3281,59,471,810,1,NA,9,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3281,91,3,0,2007-06-29T08:00:00Z,0.501,2.727,16.747,1,2.56,41,59.68771,59.66417,-169.92329,-169.9097,O-20,55,58,NA,4.8,-1.4,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-29,81
-3284,139,471,700,2,NA,8,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3284,94,3,0,2007-06-30T08:00:00Z,0.513,2.786,16.419,1,2.573,20,59.6544,59.67941,-169.26649,-169.2637,O-19,46,49,NA,4.8,-0.9,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-30,70
-3286,60,471,1040,2,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3286,96,3,0,2007-06-30T08:00:00Z,0.5,2.711,15.739,0,2.78,20,59.34874,59.32434,-168.5692,-168.5699,N-18,40,43,NA,3.4,2,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-30,104
-3286,61,471,860,1,NA,10,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3286,96,3,0,2007-06-30T08:00:00Z,0.5,2.711,15.739,0,2.78,20,59.34874,59.32434,-168.5692,-168.5699,N-18,40,43,NA,3.4,2,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-30,86
-3290,62,471,430,2,NA,4,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3290,100,3,0,2007-07-01T08:00:00Z,0.52,2.875,16.248,1,2.512,20,58.68596,58.66027,-167.87759,-167.8831,L-01,44,47,NA,4.3,2.8,183,44,15,2025-07-15T08:00:00Z,2007,2007-07-01,43
-3293,63,471,870,2,NA,11,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3293,103,3,0,2007-07-02T08:00:00Z,0.502,2.791,16.314,1,2.511,41,59.00104,58.99913,-169.16499,-169.2133,M-19,52,55,NA,4.7,0.5,183,44,15,2025-07-15T08:00:00Z,2007,2007-07-02,87
-3297,64,471,1110,2,NA,12,NA,NA,6,9,4,2025-07-15T08:00:00Z,-626,-3297,107,3,0,2007-07-04T08:00:00Z,0.509,2.842,18.182,0,2.297,50,56.31375,56.33887,-168.8802,-168.87199,E-19,128,130,NA,6.7,3.6,411,44,15,2025-07-15T08:00:00Z,2007,2007-07-04,111
-2877,10,471,910,1,5680,11,NA,NA,6,9,4,2025-07-15T08:00:00Z,-627,-2877,19,3,0,2007-06-12T08:00:00Z,0.523,2.935,16.716,1,1.999,10,58.01639,57.99003,-159.5965,-159.5934,J-14,42,44,NA,2.8,2.8,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-12,91
-2877,11,471,680,1,2180,8,NA,NA,6,9,4,2025-07-15T08:00:00Z,-627,-2877,19,3,0,2007-06-12T08:00:00Z,0.523,2.935,16.716,1,1.999,10,58.01639,57.99003,-159.5965,-159.5934,J-14,42,44,NA,2.8,2.8,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-12,68
-2878,12,471,680,2,2334,5,NA,NA,6,9,4,2025-07-15T08:00:00Z,-627,-2878,20,3,1.12,2007-06-12T08:00:00Z,0.346,1.969,16.298,1,2.133,10,57.6828,57.66622,-159.63721,-159.6488,I-14,49,51,NA,2.2,2.1,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-12,68
-2880,13,471,1020,2,8250,16,NA,NA,6,9,4,2025-07-15T08:00:00Z,-627,-2880,22,3,0,2007-06-12T08:00:00Z,0.498,2.746,16.972,1,1.796,10,57.0067,56.98301,-159.67011,-159.68269,G-14,54,56,NA,2.4,2.1,183,44,15,2025-07-15T08:00:00Z,2007,2007-06-12,102
-2881,14,471,720,1,2900,6,NA,NA,6,9,4,2025-07-15T08:00:00Z,-627,-2881,23,3,0,2007-06-13T08:00:00Z,0.501,2.742,16.025,1,1.999,10,56.68611,56.67899,-159.745,-159.7877,F-14,39,41,NA,4.9,4.7,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,72
-2881,15,471,1000,1,7310,13,NA,NA,6,9,4,2025-07-15T08:00:00Z,-627,-2881,23,3,0,2007-06-13T08:00:00Z,0.501,2.742,16.025,1,1.999,10,56.68611,56.67899,-159.745,-159.7877,F-14,39,41,NA,4.9,4.7,137,44,15,2025-07-15T08:00:00Z,2007,2007-06-13,100
