yrmday,naged
2007-06-11,7
2007-06-12,6
2007-06-13,17
2007-06-14,4
2007-06-15,5
2007-06-17,20
2007-06-20,3
2007-06-21,2
2007-06-24,24
2007-06-25,26
2007-06-26,3
2007-06-28,3
2007-06-29,8
2007-06-30,3
2007-07-01,1
2007-07-02,1
2007-07-04,1
2007-07-08,2
2007-07-13,6
2007-07-14,25
2007-07-15,41
2007-07-16,14
2007-07-17,1
2007-07-18,5
2007-07-19,6
2007-07-21,1
2007-07-24,1
2008-06-04,10
2008-06-05,3
2008-06-06,4
2008-06-07,8
2008-06-08,10
2008-06-09,5
2008-06-10,3
2008-06-11,6
2008-06-16,1
2008-06-19,1
2008-06-20,4
2008-06-21,5
2008-06-22,18
2008-06-24,7
2008-06-28,12
2008-07-03,6
2008-07-05,4
2008-07-06,3
2008-07-10,2
2008-07-11,11
2008-07-13,6
2008-07-14,8
2008-07-18,10
2009-06-02,3
2009-06-03,3
2009-06-04,6
2009-06-05,6
2009-06-06,9
2009-06-07,7
2009-06-08,12
2009-06-09,8
2009-06-10,4
2009-06-11,10
2009-06-12,11
2009-06-13,10
2009-06-14,9
2009-06-15,10
2009-06-16,3
2009-06-19,3
2009-06-20,6
2009-06-21,9
2009-06-22,6
2009-06-23,14
2009-06-24,15
2009-06-25,10
2009-06-26,8
2009-06-27,5
2009-06-28,12
2009-06-29,13
2009-07-01,9
2009-07-02,12
2009-07-04,9
2009-07-05,9
2009-07-06,8
2009-07-11,3
2009-07-12,6
2009-07-13,14
2009-07-14,7
2009-07-15,10
2009-07-16,8
2009-07-17,13
2009-07-18,1
2009-07-19,9
2015-06-03,8
2015-06-04,7
2015-06-05,8
2015-06-06,8
2015-06-07,7
2015-06-08,7
2015-06-09,9
2015-06-11,4
2015-06-12,6
2015-06-13,9
2015-06-14,9
2015-06-15,10
2015-06-16,3
2015-06-17,2
2015-06-22,6
2015-06-23,7
2015-06-24,10
2015-06-25,9
2015-06-26,10
2015-06-27,8
2015-06-28,8
2015-06-29,8
2015-06-30,6
2015-07-01,6
2015-07-02,5
2015-07-04,5
2015-07-05,9
2015-07-06,6
2015-07-07,8
2015-07-08,7
2015-07-13,6
2015-07-14,8
2015-07-15,10
2015-07-16,8
2015-07-17,8
2015-07-18,8
2015-07-19,8
2015-07-20,3
2015-07-21,6
2015-07-22,5
2015-07-23,4
2015-07-24,5
2015-07-25,4
2015-07-26,6
2015-07-27,2
2015-07-29,5
