Yr,SSB,CV,Bio_all
1948,319912,0.0382752131836255,545394
1949,319912,0.0382752131836255,545394
1950,319912,0.0382752131836255,545274
1951,319912,0.0382752131836255,545016
1952,319912,0.0382752131836255,544498
1953,319912,0.0382752131836255,543545
1954,319912,0.0382752131836255,541940
1955,319912,0.0382752131836255,539479
1956,319912,0.0382752131836255,536029
1957,319912,0.0382752131836255,531578
1958,319912,0.0382752131836255,526226
1959,318662,0.04016512794120416,520083
1960,316481,0.04417137205709031,513307
1961,313571,0.05016918018566768,506357
1962,310012,0.05710875708037109,499181
1963,306043,0.06384658365000996,491865
1964,301853,0.06971108453452508,484459
1965,297343,0.07452504346831773,476645
1966,292329,0.07837094506532023,468073
1967,287318,0.08124725913447817,459525
1968,281371,0.08354414634059658,449573
1969,270178,0.08663177608835657,431561
1970,262672,0.08820391971736614,419649
1971,253512,0.08980284956925115,405451
1972,245251,0.0907352059726566,392972
1973,237213,0.09123024454814871,381184
1974,216801,0.09572834073643571,350213
1975,195323,0.1014422264659052,318222
1976,176025,0.10724215310325237,290355
1977,165646,0.10910676985861414,277417
1978,152800,0.1122074607329843,260962
1979,133733,0.11960922135897648,234678
1980,121837,0.12332624736328046,221256
1981,111833,0.12598606851287186,212679
1982,102775,0.12786086110435416,207504
1983,99222.7,0.12481216495822026,214432
1984,97487,0.11960158790402824,227305
1985,98618.6,0.11189978361079958,248390
1986,100659,0.10354563427015964,272616
1987,104903,0.09478232271717683,300462
1988,112192,0.08683096833998859,330198
1989,122795,0.08185105256728693,356860
1990,140619,0.07977655935542138,383341
1991,164286,0.07365752407387118,404732
1992,186131,0.07077918240379089,416175
1993,201069,0.07046337326987254,415390
1994,213259,0.07000548628662799,415445
1995,219206,0.06967738109358321,411639
1996,220361,0.06906122226709809,406107
1997,219672,0.06771277176881897,402594
1998,214547,0.06683290840701571,395592
1999,208080,0.06618560169165705,389183
2000,204334,0.06499358892793172,389911
2001,197812,0.064964713970841,389563
2002,190830,0.06559398417439606,390798
2003,184700,0.06639902544667027,392695
2004,181807,0.06616851936394089,397075
2005,179577,0.06595889228576043,402251
2006,179070,0.06595688836767745,408211
2007,181590,0.06635772894983204,418059
2008,187234,0.06604783319268936,432544
2009,194839,0.06583281581202942,448640
2010,201781,0.06523904629276295,465367
2011,208996,0.06398447817183103,484957
2012,214769,0.06359670157238707,499703
2013,222360,0.06362430293218205,512530
2014,229607,0.06368272744297865,520477
2015,239464,0.06335733137340059,525829
2016,247150,0.062540562411491,526909
2017,254639,0.06235376356331906,521868
2018,259898,0.062296747185434286,510397
2019,262592,0.062199914696563496,494871
2020,266812,0.06114042846648576,484658
2021,268549,0.06044185604861683,472589
2022,265673,0.059997440462523484,458825
2023,253708,0.06096536175445788,437954
2024,243238,0.061397067892352344,427641
2025,223806,0.0605569108960439,408977
2026,205900,0.059644487615347255,395620
2027,189225,0.058819394900251024,385925
2028,176059,0.05901771565213934,378091
