Yr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1948,24131,21190,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1949,24131,21190,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1950,20790,21190,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1951,20587,18256,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1952,20363,18077,16030,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1953,20118,17881,15873,14076,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1954,19852,17666,15701,13938,12360,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1955,19564,17432,15512,13787,12239,10853,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1956,19256,17179,15307,13621,12106,10747,9530,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1957,18929,16908,15085,13441,11961,10630,9437,8368,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1958,18587,16621,14847,13246,11802,10503,9335,8287,7348,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1959,18234,16322,14595,13037,11630,10363,9221,8196,7275,6452,6576,5774,5070,4452,3909,3433,3014,2647,2324,2041,1792,1574,1382,1213,1065,7674
1960,17874,16011,14331,12814,11446,10210,9097,8094,7194,6386,5663,5772,5068,4450,3908,3432,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1961,17511,15695,14059,12584,11252,10050,8966,7988,7108,6317,5608,4973,5068,4450,3908,3432,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1962,17148,15376,13782,12346,11050,9881,8825,7873,7014,6241,5547,4924,4366,4450,3908,3431,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1963,16790,15058,13502,12102,10840,9703,8676,7749,6913,6159,5480,4871,4324,3834,3908,3431,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1964,16443,14744,13222,11856,10626,9519,8520,7618,6805,6070,5408,4812,4277,3797,3367,3431,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1965,16113,14438,12945,11608,10407,9327,8353,7476,6685,5970,5326,4745,4222,3753,3331,2954,3011,2644,2322,2039,1790,1572,1380,1212,1064,7667
1966,15810,14149,12674,11360,10183,9125,8174,7319,6549,5855,5229,4665,4156,3698,3287,2918,2588,2638,2316,2034,1786,1568,1377,1209,1062,7650
1967,15535,13883,12420,11122,9965,8928,7997,7161,6411,5736,5128,4580,4086,3641,3240,2880,2557,2267,2311,2029,1782,1565,1374,1207,1060,7633
1968,15276,13641,12181,10890,9744,8721,7805,6985,6252,5595,5006,4475,3998,3567,3178,2829,2514,2232,1980,2018,1772,1556,1367,1200,1054,7592
1969,15037,13414,11932,10625,9460,8422,7502,6690,5975,5343,4780,4277,3826,3419,3052,2721,2423,2154,1913,1697,1730,1519,1334,1172,1029,7413
1970,14803,13204,11757,10444,9280,8243,7322,6511,5800,5178,4629,4143,3707,3317,2965,2647,2361,2102,1869,1660,1473,1502,1319,1158,1017,7328
1971,14594,12999,11561,10272,9096,8053,7127,6313,5604,4989,4453,3981,3563,3190,2855,2553,2281,2034,1812,1611,1431,1270,1295,1137,999,7195
1972,14440,12815,11385,10106,8955,7904,6975,6158,5447,4833,4302,3840,3434,3075,2754,2465,2205,1970,1758,1566,1393,1237,1097,1119,983,7083
1973,14356,12679,11226,9956,8815,7786,6850,6030,5316,4699,4167,3710,3312,2963,2654,2378,2129,1905,1702,1518,1353,1203,1069,948,967,6970
1974,14421,12606,11006,9663,8464,7385,6431,5600,4899,4308,3805,3377,3009,2691,2411,2163,1940,1739,1557,1392,1242,1107,985,875,776,6498
1975,14717,12663,10918,9437,8165,7028,6029,5185,4482,3909,3434,3035,2697,2408,2157,1937,1740,1562,1402,1256,1123,1003,894,795,707,5875
1976,15390,12923,10968,9362,7974,6779,5738,4861,4150,3576,3116,2739,2425,2159,1931,1733,1558,1401,1259,1130,1013,906,809,721,642,5315
1977,16621,13514,11268,9513,8059,6803,5733,4821,4068,3468,2986,2603,2290,2029,1808,1619,1454,1308,1177,1058,950,851,762,680,607,5009
1978,18757,14595,11744,9718,8114,6783,5652,4717,3944,3320,2827,2436,2126,1873,1661,1482,1329,1194,1075,968,870,782,701,627,560,4623
1979,22403,16470,12574,9977,8089,6591,5382,4406,3640,3029,2547,2171,1874,1640,1448,1288,1152,1034,930,838,755,679,610,547,490,4049
1980,28519,19672,14272,10790,8442,6729,5394,4350,3536,2911,2421,2037,1738,1503,1318,1166,1038,929,835,752,678,611,549,494,443,3673
1981,38343,25043,17085,12294,9182,7074,5552,4395,3515,2845,2338,1944,1637,1399,1212,1064,942,840,752,676,609,549,495,446,400,3338
1982,43744,33669,21734,14699,10441,7672,5816,4504,3535,2814,2273,1868,1555,1311,1123,974,856,759,677,607,546,492,443,400,360,3019
1983,33787,38411,29387,18885,12687,8936,6511,4901,3779,2958,2353,1901,1563,1302,1099,941,817,718,637,569,510,459,413,373,336,2840
1984,26717,29668,33564,25584,16352,10910,7631,5529,4147,3191,2496,1985,1604,1320,1100,929,796,692,608,540,482,432,389,350,316,2691
1985,22885,23460,25987,29344,22305,14206,9445,6588,4764,3569,2745,2147,1708,1381,1136,948,800,686,596,524,465,415,372,335,302,2593
1986,21028,20095,20537,22698,25543,19334,12260,8123,5652,4082,3057,2351,1839,1464,1184,975,813,687,589,512,450,400,357,320,288,2486
