Stock Year Catch ABC OFL SSB TotBiom
EBS_SKATE 2015 34388.9 34388.9 39883.1 115490 528391
EBS_SKATE 2016 32199 32199 37343.1 112195 498957
EBS_SKATE 2017 30047.8 30047.8 34849.1 108234 472048
EBS_SKATE 2018 28148.6 28148.6 32648.1 103451 449077
EBS_SKATE 2019 26671.1 26671.1 30936.4 97854.1 431063
EBS_SKATE 2020 25683.2 25683.2 29792.2 91685.4 418344
EBS_SKATE 2021 25138.2 25138.2 29160.8 85434.9 410558
EBS_SKATE 2022 24921.7 24921.7 28909.8 79734.3 406796
EBS_SKATE 2023 24914.8 24914.8 28865.5 75150.1 406005
EBS_SKATE 2024 24116.9 24116.9 27847.7 72068.1 407065
EBS_SKATE 2025 23824.5 23824.5 27515.6 70516.6 410161
EBS_SKATE 2026 23975.2 23975.2 27690.8 70107 414232
EBS_SKATE 2027 24369.9 24369.9 28145.7 70401.8 418404
