
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
178425 0 0 14756.9 27165.6 133165 
CV Recruit
0.294008 
Alternative 1 Alternative  Stock: EBS_SKATE
Catch EBS_SKATE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 0 0 14779 14779 14779 14779 3.31056e-10 
2021  0 0 0 33269.2 33269.2 33269.2 33269.2 8.29459e-10 
2022  0 0 0 30821 30824.5 30824.9 30830.3 2.89632 
2023  0 0 0 28806.6 28824.1 28825.5 28850.4 13.9058 
2024  0 0 0 27205.2 27272 27277.7 27368.2 52.0332 
2025  0 0 0 25929.9 26126.7 26144 26401.6 150.171 
2026  0 0 0 24917.6 25347.3 25384.1 25954.3 332.584 
2027  0 0 0 24107.6 24887 24947.3 25920.8 586.052 
2028  0 0 0 23511.3 24677.1 24763.5 26224.8 866.756 
2029  0 0 0 23054.5 24656.9 24752.9 26654.4 1133.68 
2030  0 0 0 22805.9 24735.2 24842.4 27252.6 1366.8 
2031  0 0 0 22655.2 24877.2 24978 27628 1557.87 
2032  0 0 0 22608.7 25046.5 25125 27988.8 1702.81 
2033  0 0 0 22571.6 25190.8 25266 28271 1804.45 
2034  0 0 0 22570 25345.9 25393.6 28628.5 1868.95 

Spawning_Biomass EBS_SKATE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 178425 0 0 124451 124451 124451 124451 1.8772e-09 
2021 178425 0 0 122201 122201 122201 122201 1.58616e-09 
2022 178425 0 0 115309 115309 115309 115309 1.17871e-09 
2023 178425 0 0 107459 107459 107459 107459 2.53203e-09 
2024 178425 0 0 99236.9 99236.9 99236.9 99236.9 1.07684e-09 
2025 178425 0 0 91377.4 91377.4 91377.4 91377.4 2.18279e-10 
2026 178425 0 0 84499.2 84499.2 84499.2 84499.2 6.8394e-10 
2027 178425 0 0 78896.8 78916.6 78919.2 78949.8 16.4714 
2028 178425 0 0 74507.1 74635.6 74647.7 74833.5 102.994 
2029 178425 0 0 71052.3 71530 71567.4 72203.8 366.013 
2030 178425 0 0 68298.9 69439.5 69538.5 71041.8 874.337 
2031 178425 0 0 66115.5 68248.7 68411.6 71036.7 1594.55 
2032 178425 0 0 64550.2 67746 67988.1 72069.4 2399.76 
2033 178425 0 0 63311.5 67763.9 68038.9 73302.6 3166.44 
2034 178425 0 0 62672.6 68061.2 68356.6 75131.2 3832.97 

Fishing_mortalityEBS_SKATE
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.079212 0.0925522 0.033203 0.033203 0.033203 0.033203 2.498e-16 
2021  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2022  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2023  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2024  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2025  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2026  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2027  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2028  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2029  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2030  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2031  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2032  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2033  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 
2034  0 0.079212 0.0925522 0.079212 0.079212 0.079212 0.079212 9.71445e-17 

Total_BiomassEBS_SKATE
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2020 705867 0 0 519441 519441 519441 519441 5.70435e-09 
2021 705867 0 0 504800 505314 505379 506171 426.027 
2022 705867 0 0 472650 474053 474165 476039 1065.98 
2023 705867 0 0 445334 448415 448644 452543 2311.21 
2024 705867 0 0 423012 428550 429033 436037 4205.22 
2025 705867 0 0 405471 414305 414904 425896 6662.88 
2026 705867 0 0 391335 404753 405531 421720 9620.84 
2027 705867 0 0 380549 399207 400070 420873 12890.1 
2028 705867 0 0 373353 396731 397588 424765 16264.9 
2029 705867 0 0 367850 396288 397179 430244 19413.9 
2030 705867 0 0 364887 396666 398083 435493 22169.8 
2031 705867 0 0 363286 398721 399674 441976 24396.3 
2032 705867 0 0 362743 400521 401554 445694 26033.9 
2033 705867 0 0 362083 402747 403429 449557 27168.4 
2034 705867 0 0 362422 403761 405156 453726 27845.1 
Alternative 2 Alternative  Stock: EBS_SKATE
Catch EBS_SKATE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 0 0 14779 14779 14779 14779 3.31056e-10 
2021  0 0 0 16317.8 16317.8 16317.8 16317.8 3.76531e-10 
2022  0 0 0 21380.8 21380.8 21380.8 21380.8 1.11276e-05 
2023  0 0 0 30547.7 30565.4 30566.9 30592 14.0427 
2024  0 0 0 28726 28792.9 28798.7 28889.4 52.1782 
2025  0 0 0 27241.9 27438.9 27456.2 27714.1 150.358 
2026  0 0 0 26035.9 26465.9 26502.7 27073.5 332.849 
2027  0 0 0 25050.3 25830.2 25890.5 26864.2 586.394 
2028  0 0 0 24298.8 25465.5 25551.5 27012.9 867.131 
2029  0 0 0 23707.4 25310.4 25406.2 27307.5 1134.04 
2030  0 0 0 23344.5 25273.6 25381.1 27791.6 1367.1 
2031  0 0 0 23097.2 25318.8 25420.3 28069.8 1558.1 
2032  0 0 0 22970.6 25409.2 25487.1 28350.7 1702.99 
2033  0 0 0 22867.1 25486.5 25561.9 28567.4 1804.58 
2034  0 0 0 22811.4 25587 25635 28869.8 1869.05 

Spawning_Biomass EBS_SKATE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 178425 0 0 124451 124451 124451 124451 1.8772e-09 
2021 178425 0 0 124260 124260 124260 124260 7.85803e-10 
2022 178425 0 0 121343 121343 121343 121344 0.2366 
2023 178425 0 0 114803 114804 114804 114805 0.536627 
2024 178425 0 0 105959 105959 105959 105960 0.492765 
2025 178425 0 0 97447.8 97448.4 97448.4 97449.3 0.447336 
2026 178425 0 0 89916.8 89917.3 89917.4 89918.1 0.402135 
2027 178425 0 0 83677.5 83697.8 83700.4 83731.7 16.841 
