S-r Parameters
Steepness Rzero Alpha Beta SigmaR Bzero Phi 
 0.995221  0.00725759  2.25762e-06  0.334441  2.6746e+06  6.04547 

Stock Run Source SSB Rec
EBS_SKATE std Data 151.182 22728
EBS_SKATE std Data 178.115 22880
EBS_SKATE std Data 202.83 20012
EBS_SKATE std Data 219.892 20306
EBS_SKATE std Data 233.371 25614
EBS_SKATE std Data 239.748 31237
EBS_SKATE std Data 240.68 26825
EBS_SKATE std Data 239.419 29491
EBS_SKATE std Data 233.635 31779
EBS_SKATE std Data 226.706 33494
EBS_SKATE std Data 222.786 35791
EBS_SKATE std Data 216.133 30204
EBS_SKATE std Data 209.091 27631
EBS_SKATE std Data 203.143 34329
EBS_SKATE std Data 200.774 42135
EBS_SKATE std Data 198.833 40215
EBS_SKATE std Data 198.418 44607
EBS_SKATE std Data 201.316 35121
EBS_SKATE std Data 207.403 44573
EBS_SKATE std Data 215.349 38130
EBS_SKATE std Data 221.991 33168
EBS_SKATE std Data 229.038 28536
EBS_SKATE std Data 234.248 26366
EBS_SKATE std Data 241.82 19980
EBS_SKATE std Data 249.105 16850
EBS_SKATE std Data 259.031 15346
EBS_SKATE std Data 266.532 19526
EBS_SKATE std Fit 0 0
EBS_SKATE std Fit 133730 432547
EBS_SKATE std Fit 267460 437684
EBS_SKATE std Fit 401189 439424
EBS_SKATE std Fit 534919 440299
EBS_SKATE std Fit 668649 440826
EBS_SKATE std Fit 802379 441178
EBS_SKATE std Fit 936109 441429
EBS_SKATE std Fit 1.06984e+06 441618
EBS_SKATE std Fit 1.20357e+06 441765
EBS_SKATE std Fit 1.3373e+06 441883
EBS_SKATE std Fit 1.47103e+06 441979
EBS_SKATE std Fit 1.60476e+06 442060
EBS_SKATE std Fit 1.73849e+06 442128
EBS_SKATE std Fit 1.87222e+06 442186
EBS_SKATE std Fit 2.00595e+06 442236
EBS_SKATE std Fit 2.13968e+06 442281
EBS_SKATE std Fit 2.27341e+06 442320
EBS_SKATE std Fit 2.40714e+06 442354
EBS_SKATE std Fit 2.54087e+06 442385
EBS_SKATE std Fit 2.6746e+06 442413
EBS_SKATE std Fit 2.80833e+06 442439
EBS_SKATE std Fit 2.94206e+06 442462
EBS_SKATE std Fit 3.07579e+06 442483
EBS_SKATE std Fit 3.20952e+06 442502
EBS_SKATE std Fit 3.34325e+06 442520
EBS_SKATE std Fit 3.47698e+06 442536
EBS_SKATE std Fit 3.61071e+06 442551
EBS_SKATE std Fit 3.74444e+06 442565
EBS_SKATE std Fit 3.87816e+06 442578
EBS_SKATE std Fit 4.01189e+06 442590

