Stock Year Catch ABC OFL SSB TotBiom
EBS_SKATE 2021 17263 33268.1 38637.5 124142 505393
EBS_SKATE 2022 17263 31919.7 37073 121575 489868
EBS_SKATE 2023 30786.1 30786.1 35757.9 115692 476753
EBS_SKATE 2024 28994.9 28994.9 33678.7 106776 453501
EBS_SKATE 2025 27632 27632 32096.9 98192.2 435907
EBS_SKATE 2026 26659.3 26659.3 30968.1 90588.4 423307
EBS_SKATE 2027 26023 26023 30229.9 84301.5 414898
EBS_SKATE 2028 25648.4 25648.4 29795.2 79354.5 409763
EBS_SKATE 2029 25456.9 25456.9 29573 75642 407132
EBS_SKATE 2030 25389.6 25389.6 29491.7 73027.7 406136
EBS_SKATE 2031 25178.9 25178.9 29161.6 71374.4 406257
EBS_SKATE 2032 24977.3 24977.3 28921.3 70499.7 407267
EBS_SKATE 2033 24962.2 24962.2 28904.1 70171.3 408794
