strata,model_name,year,variable,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
NBS,M20_NBS_spec,2010,biomass_pred,77872.07921153647,55237.74093986972,109781.11373759799,76941.96,0.18976535381197446,53218.32288622493,111241.108091626
NBS,M20_NBS_spec,2011,biomass_pred,78668.43267614463,50962.38087193127,121437.07169555895,NA,NA,NA,NA
NBS,M20_NBS_spec,2012,biomass_pred,79472.92999471193,49054.6154554594,128753.36078577834,NA,NA,NA,NA
NBS,M20_NBS_spec,2013,biomass_pred,80285.65444980115,48655.077652070446,132479.21124545948,NA,NA,NA,NA
NBS,M20_NBS_spec,2014,biomass_pred,81106.69017565809,49560.3653865918,132732.9841081015,NA,NA,NA,NA
NBS,M20_NBS_spec,2015,biomass_pred,81936.122166922,51918.921851258914,129307.92621206903,NA,NA,NA,NA
NBS,M20_NBS_spec,2016,biomass_pred,82774.036287424,56379.82561234314,121524.69449660357,NA,NA,NA,NA
NBS,M20_NBS_spec,2017,biomass_pred,83620.51927907534,65387.68947671402,106937.42660829687,83254.81,0.1460251939620053,62627.85323130145,110675.41086769669
NBS,M20_NBS_spec,2018,biomass_pred,85002.97435698714,61832.777847827674,116855.58858954713,NA,NA,NA,NA
NBS,M20_NBS_spec,2019,biomass_pred,86408.28485434529,65276.37731522869,114381.22026002507,95103.59999999999,0.1522414155105409,70688.77037047065,127950.94164968385
NBS,M20_NBS_spec,2020,biomass_pred,77488.24036408874,55804.08138439567,107598.35563571863,NA,NA,NA,NA
NBS,M20_NBS_spec,2021,biomass_pred,69489.02416989523,53290.09759393149,90612.04047474223,80207.49,0.2003257091709516,54371.57274588631,118319.94417683691
NBS,M20_NBS_spec,2022,biomass_pred,55868.40995435925,42042.383099543935,74241.25372336962,48919.72,0.13566077919047165,37543.552174963384,63743.00955129945
NBS,M20_NBS_spec,2023,biomass_pred,55868.40995435925,35887.17557686954,86974.78084176999,NA,NA,NA,NA
NBS,M20_NBS_spec,2024,biomass_pred,55868.40995435925,31987.29640099833,97578.7134898632,NA,NA,NA,NA
